"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Frauen";"Männer";"Total"
"Zürich";3.5917009199452;11.0693749090576;12.3611531313481;8.90027423354188;10.5171197204395;9.58425806816415;10.1665793310448;9.87415948080803
"Winterthur-Unterland";4.51002805777824;13.591753976147;10.6786335745032;5.76408903086913;9.0900205258528;9.33483421146117;9.75036836148541;9.54282513799045
"Oberland";4.54328832406672;14.3359799086997;11.2039515787386;6.68542433205877;10.2187778616007;10.1149811596357;9.79662289919426;9.95732574679943
"Horgen";4.22121293080417;14.0042946503594;11.4705066140421;7.80870691050332;12.4440563257286;10.5984146354871;9.59616607613337;10.1054113388413
"Total";4.1668061180093;12.6863078540971;11.4811525369459;7.27837483900992;10.3021699452444;9.73654141572093;9.89642353034731;9.8160730697166
