"Spitalname";"2017";"2018";"2019";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";0.868866113275735;0.945623259487094;0.949644141731078;0.425209744329358
"Integrierte Psychiatrie Winterthur - ZU";1.01756576554734;1.02085101224391;1.0239814979541;0.306654513993321
"Clienia Privatklinik Schlössli";0.998949146181272;1.00287733783699;0.984188034188034;-1.86356824945986
"Sanatorium Kilchberg";0.920994639666468;0.970458606313282;0.96512805241215;-0.549281944273972
"Psychiatriestützpunkt Spital Affoltern";0.977605717689101;0.868374032162001;0.958246575342466;10.3495198902606
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";0.928974800660617;0.973039967290197;0.972939875257979;-0.0102865283629905
"Modellstation SOMOSA";0.992103142626914;0.993714746172442;0.674617244157937;-32.1115796302303
"Kispi Zürich - Psychosomatik und Psychiatrie";0.989884088514225;0.999789251844046;0.812434141201264;-18.7394603709949
"KSW - Sozialpädiatrisches Zentrum";0.893150684931507;0.681278538812785;0.718721461187215;5.49597855227881
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0.974809741248097;0.943835616438356;0.731735159817352;-22.4721819061442
"Forel Klinik";0.97631900176319;0.93606401736064;0.860138342601383;-8.1111626289556
"Suchtfachklinik Zürich";0.881735159817352;1.00388127853881;0.816743989877689;-18.6413764916016
"USZ - Zentrum für Essstörungen";0.79703196347032;0.857534246575342;0.9;4.9520766773163
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";0.950027397260274;0.935035616438356;0.85946028225368;-8.08261555560309
"Privatklinik Hohenegg";0.937690802348337;0.915381604696673;0.860743639921722;-5.96887292628698
"Total Kanton Zürich";0.932313393903924;0.966064258198369;0.951427992553261;-1.51504059081994
"Clienia Privatklinik Littenheid";0.859815391851373;0.901463930860133;;4.84389316630882
"Spitäler Schaffhausen";0.861404900405429;0.960583296509059;;11.5135630244209
"Klinik Meissenberg";0.932802665679378;0.929211403184006;;-0.38499702321888
"Klinik Sonnenhof";0.817773094485423;0.892671232876712;;9.15879219998283
