"Psychiatrieregion";"Anzahl Betten";"Einwohner";"Betten pro 1000 Einwohner"
"Zürich";537;570776;0.940824421489341
"Winterthur-Unterland";231;474606;0.486719510499235
"Oberland";224.383561643836;309879;0.724100573591097
"Horgen";209;181145;1.15377184023848
"Total";1201.38356164384;1536406;0.781944070541143
