"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Frauen";"Männer";"Total"
"Zürich";102180;185557;185096;60897;29761;282964;280527;563491
"Winterthur-Unterland";96230;129711;163785;57598;20462;233641;234145;467786
"Oberland";62950;76451;110943;41583;14581;154721;151787;306508
"Horgen";37430;42844;64862;24716;9161;90957;88056;179013
"Total";298790;434563;524686;184794;73965;762283;754515;1516798
