"Spitalname";"0-19";"in %";"20-39";"in %";"40-64";"in %";"65-79";"in %";"80+";"in %";"Total"
"Zürcher RehaZentrum Wald";0;0;45;2.03160270880361;608;27.4492099322799;1053;47.5395033860045;509;22.979683972912;2215
"RehaClinic Zollikerberg";0;0;5;0.868055555555556;65;11.2847222222222;271;47.0486111111111;235;40.7986111111111;576
"RehaClinic Kilchberg";0;0;6;2.04081632653061;56;19.047619047619;126;42.8571428571429;106;36.0544217687075;294
"Universitätsklinik Balgrist";4;0.959232613908873;40;9.59232613908873;147;35.2517985611511;162;38.8489208633094;64;15.347721822542;417
"Klinik Susenberg";0;0;2;0.638977635782748;80;25.5591054313099;138;44.0894568690096;93;29.7124600638978;313
"Kinderspital Zürich";190;99.4764397905759;1;0.523560209424084;0;0;0;0;0;0;191
"Klinik Lengg";1;0.209205020920502;19;3.97489539748954;141;29.4979079497908;200;41.8410041841004;117;24.4769874476987;478
"Total Kanton Zürich";195;4.34879571810883;118;2.63157894736842;1097;24.4647636039251;1950;43.4879571810883;1124;25.0669045495094;4484
"RehaClinic Zurzach";15;0.522648083623693;162;5.64459930313589;896;31.219512195122;1162;40.4878048780488;635;22.1254355400697;2870
"RehaClinic Baden";0;0;8;0.980392156862745;145;17.7696078431373;352;43.1372549019608;311;38.1127450980392;816
"Rehaklinik Bellikon";33;2.19123505976096;452;30.0132802124834;918;60.9561752988048;85;5.64409030544489;18;1.19521912350598;1506
"aarReha Schinznach";5;0.325097529258778;47;3.05591677503251;369;23.9921976592978;628;40.8322496749025;489;31.7945383615085;1538
"Reha Rheinfelden";3;0.140646976090014;115;5.39146741678387;676;31.6924519456165;855;40.084388185654;484;22.6910454758556;2133
"Klinik Gais";0;0;41;3.77880184331797;420;38.7096774193548;498;45.8986175115207;126;11.6129032258065;1085
"Rheinburg-Klinik";0;0;11;1.42671854734112;178;23.0869001297017;348;45.136186770428;234;30.3501945525292;771
"REHAB Basel";10;2.10970464135021;91;19.1983122362869;234;49.3670886075949;123;25.9493670886076;16;3.37552742616034;474
"Zürcher RehaZentrum Davos";8;0.539083557951483;162;10.9164420485175;702;47.3045822102426;466;31.4016172506739;146;9.83827493261455;1484
"Reha Seewis";0;0;31;3.92405063291139;348;44.0506329113924;326;41.2658227848101;85;10.7594936708861;790
"Kliniken Valens, Rehazentrum Valens";20;0.716332378223496;206;7.37822349570201;1129;40.4369627507163;993;35.5659025787966;444;15.9025787965616;2792
"Rehaklinik Dussnang";1;0.0535045478865704;11;0.588550026752274;289;15.4628143392188;883;47.2445157838416;685;36.6506153023007;1869
"Rehaklinik Zihlschlacht";5;0.454545454545455;70;6.36363636363636;376;34.1818181818182;494;44.9090909090909;155;14.0909090909091;1100
