"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Frauen";"Männer";"Total"
"Zürich";106756;187805;192445;61397;29783;289239;288947;578186
"Winterthur-Unterland";99452;131522;169522;60365;22835;241116;242580;483696
"Oberland";64578;77599;114219;43361;16336;159512;156581;316093
"Horgen";38927;43368;66774;25202;10099;93651;90719;184370
"Total";309713;440294;542960;190325;79053;783518;778827;1562345
