"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Frauen";"Männer";"Total"
"Zürich";5.39548128442429;10.516226937515;11.7332224791499;8.04599573269052;7.72252627337743;9.52845224883228;9.61075906654161;9.56958487407167
"Winterthur-Unterland";5.99284076740538;14.1725338726601;11.1902879862201;6.29503851569618;8.53952266257937;10.3311269264586;10.0626597411163;10.1964870497172
"Oberland";6.9373470841463;15.3094756375726;12.6686453217065;6.36516685500796;8.50881488736533;11.8925221926877;10.2247399109726;11.0663633803975
"Horgen";5.72867161610193;12.2209924368198;9.88408662054093;5.63447345448774;9.6049113773641;9.33252180969771;8.57593227438574;8.9602429896404
"Total";5.95067045942534;12.6211122568102;11.5330779431266;6.78838828319979;8.36147900775429;10.2333322272111;9.75441272580432;9.99459146347318
