"Spitalname";"2020";"2021";"2022";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";1.00056024292133;0.979701195542266;0.970347695211857;-0.954729908768948
"Integrierte Psychiatrie Winterthur - ZU";0.923887587822014;1.01978295676926;0.982225744367712;-3.68286331441839
"Clienia Privatklinik Schlössli";0.966096965469131;0.982267560477995;0.981463130282716;-0.0818952215918656
"Sanatorium Kilchberg";0.959283677833215;0.957041458778807;0.96617033948779;0.953864707243879
"Zentrum für Psychiatrie und Psychotherapie Affoltern";0.982291034203603;0.975814832309872;0.959360730593607;-1.68619098331558
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";0.971455113588379;0.984395642975268;0.973921288652894;-1.06403907789718
"Modellstation SOMOSA";0.81468981035037;0.768573730862208;0.711684125705077;-7.40197106311596
"Kispi Zürich - Psychosomatik und Psychiatrie";0.816859852476291;0.889567966280295;0.832244467860906;-6.44397062307509
"KSW - Sozialpädiatrisches Zentrum";0.831963470319635;1.02374429223744;0.855342465753425;-16.4495985727029
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0.81834764764004;0.854794520547945;0.786780821917808;-7.95673076923078
"Forel Klinik";0.921657739544446;0.937718703377187;0.928364222401289;-0.997578585369752
"Suchtfachklinik Zürich";0.940327868852459;0.991686348606519;0.960982522437411;-3.09612270172429
"USZ - Zentrum für Essstörungen";0.834244080145719;0.974885844748858;0.89367871641214;-8.3299115249374
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";0.91743882157282;0.951881149913178;0.931493923152412;-2.14178280162659
"Privatklinik Hohenegg";0.92111631537861;0.932250489236791;0.933228962818004;0.104958226625795
"Total Kanton Zürich";0.959754519833734;0.975378049805531;0.962800956114069;-1.2894583483778
"Clienia Privatklinik Littenheid";0.970329223682428;0.982214423185781;;1.22486257378172
"Spitäler Schaffhausen";0.790322580645161;0.829739284136103;;4.9874196253844
"Klinik Meissenberg";0.918666359021689;0.936826234451564;;1.97676504114228
"Klinik Sonnenhof";0.877937158469945;0.860616438356164;;-1.97288837209798
