"Psychiatrieregion";"Anzahl Betten";"Einwohner";"Betten pro 1000 Einwohner"
"Zürich";537;584121;0.919330070310775
"Winterthur-Unterland";242;488953;0.494935096011273
"Oberland";235;318521;0.737784949814926
"Horgen";214;185873;1.15132375331544
"Total";1228;1577468;0.778462700986644
