"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Frauen";"Männer";"Total"
"Zürich";99795;182752;182167;60854;29859;279470;275957;555427
"Winterthur-Unterland";95386;128871;161865;56645;19720;231278;231209;462487
"Oberland";62707;76091;109782;41017;13973;153141;150429;303570
"Horgen";37011;42546;64282;24495;8823;90055;87102;177157
"Total";294899;430260;518096;183011;72375;753944;744697;1498641
