"Spitalname";"2016";"2017";"2018";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";33.5508995672967;31.7588063719991;28.6801421590404;-9.69389144194366
"Psychiatrische Universitätsklinik Zürich - Forensik";432.156862745098;777;772.111111111111;-0.629200629200632
"Integrierte Psychiatrie Winterthur - ZU";25.1329753632344;26.8079220370953;26.8121029755934;0.0155959066592715
"Clienia Privatklinik Schlössli";29.0487523992322;30.4045419553503;31.4313408723748;3.37712345258285
"Sanatorium Kilchberg";29.0468372766779;27.0088691796009;27.2792598967298;1.00111824501379
"Psychiatriestützpunkt Spital Affoltern";38.2676767676768;42.1435643564356;29.4879032258065;-30.0298784022918
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";31.4323025156225;32.5534369114878;30.6625586387851;-5.80853652363632
"Psychiatrische Universitätsklinik Zürich - KJPP";60.522633744856;61.841935483871;58.9453924914676;-4.68378450599891
"Modellstation SOMOSA";189.459459459459;155.777777777778;249.375;60.0838088445079
"Kispi Zürich - Psychosomatik und Psychiatrie";79.593220338983;80.7857142857143;84.1864406779661;4.20956405760613
"KSW - Sozialpädiatrisches Zentrum";71.4347826086957;98.75;68.4761904761905;-30.6570223025919
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";77.5027624309392;74.1184834123223;74.7128463476071;0.801909197167894
"Forel Klinik";64.734962406015;66.8816029143898;61.2112676056338;-8.47816897572592
"Suchtbehandlung Frankental";24.8101265822785;22.5329341317365;25.7100591715976;14.0999171314591
"USZ - Zentrum für Essstörungen";84.0217391304348;74.2884615384615;60.4;-18.6953145223919
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";57.3695652173913;57.7395833333333;53.6223337515684;-7.13072271061583
"Privatklinik Hohenegg";46.5808966861598;48.25;46.9817813765182;-2.62843238027312
"Total Kanton Zürich";34.5216774285106;35.65248718304;33.7364178058184;-5.37429371304308
"Clienia Privatklinik Littenheid";42.4600622406639;39.6092592592593;;-6.71408102335383
"Spitäler Schaffhausen";33.6718027734977;31.420814479638;;-6.68508398258789
"Klinik Meissenberg";52.1095334685598;44.0794473229706;;-15.4100135063273
"Klinik Sonnenhof";75.1695906432749;58.9529914529915;;-21.5733504087324
