"Psychiatrieregion";"Anzahl Betten";"Einwohner";"Betten pro 1000 Einwohner"
"Zürich";527.320547945205;563491;0.935810062530201
"Winterthur-Unterland";226;467786;0.483126899907223
"Oberland";219;306508;0.714500110926958
"Horgen";207;179013;1.15634060096194
"Total";1179.32054794521;1516798;0.77750666070578
