"Spitalname";"2016";"2017";"2018";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";0.928253576020572;0.868866113275735;0.940240658381479;8.21467703886531
"Integrierte Psychiatrie Winterthur - ZU";0.989302790788447;1.01756576554734;1.02074190811007;0.312131428775642
"Clienia Privatklinik Schlössli";0.98909676931987;0.998949146181272;1.00287733783699;0.393232395336329
"Sanatorium Kilchberg";0.942213824594552;0.920994639666468;0.970458606313282;5.37071167588192
"Psychiatriestützpunkt Spital Affoltern";0.993293591654247;0.977605717689101;0.865634306134604;-11.4536371390277
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";0.954285820087207;0.928974800660617;0.9705588544135;4.47633818735578
"Modellstation SOMOSA";0.987590652699436;0.992103142626914;0.992908944399678;0.0812215724496523
"Kispi Zürich - Psychosomatik und Psychiatrie";0.986548970155528;0.989884088514225;0.999789251844046;1.00063870555673
"KSW - Sozialpädiatrisches Zentrum";0.709927140255009;0.893150684931507;0.681278538812785;-23.721881390593
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0.940876966334828;0.974809741248097;0.943455098934551;-3.21648840658911
"Forel Klinik";0.927690310014608;0.97631900176319;0.93606401736064;-4.12313847521671
"Suchtbehandlung Frankental";0.879452054794521;0.881735159817352;0.985388127853881;11.7555670636976
"USZ - Zentrum für Essstörungen";0.841780821917808;0.79703196347032;0.857534246575342;7.59094815239185
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";0.914840572103399;0.950027397260274;0.933260273972603;-1.76490944745645
"Privatklinik Hohenegg";0.945355191256831;0.937690802348337;0.915381604696673;-2.37916353618833
"Total Kanton Zürich";0.950009775814441;0.932313393903924;0.963822467252174;3.3796654166161
"Clienia Privatklinik Littenheid";0.974074074074074;0.859815391851373;;-11.7299787833191
"Spitäler Schaffhausen";0.858804865150714;0.861404900405429;;0.302750410509045
"Klinik Meissenberg";0.930623246197017;0.932802665679378;;0.234189237295279
"Klinik Sonnenhof";0.815645671555939;0.817773094485423;;0.260826852109197
