"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Frauen";"Männer";"Total"
"Zürich";3.27671727040433;10.8562423393451;13.6413291101023;8.93942879679232;10.4156200810476;9.98676065409525;10.3639335113804;10.1741542993049
"Winterthur-Unterland";4.2983247017382;13.796742478913;11.4169215086646;6.12587165680996;9.78701825557809;9.92312282188535;9.86553291610621;9.89433216501221
"Oberland";4.51305276922832;14.1278206358176;11.1129329033904;6.14379403661896;10.162456165462;9.85366427018238;9.7255183508499;9.7901637184175
"Horgen";4.91745697225149;15.277581911343;11.4962197815874;8.08328230251072;14.0541765839284;11.4152462384099;9.93088562834378;10.6854372110614
"Total";4.07597177338682;12.7527541486543;12.1444674346067;7.32742840594281;10.6390328151986;10.110830512611;10.0295825013395;10.0704571675271
