"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Frauen";"Männer";"Total"
"Zürich";3.79032025320109;10.7314062558193;12.0756363791186;8.51195922101686;9.30560688010213;9.43425882911801;9.76170473040189;9.59746029966221
"Winterthur-Unterland";4.77011140518249;13.073139533113;11.1255085128823;5.60438811665304;10.0203242425675;9.60795000823901;9.64581573339722;9.62693265571864
"Oberland";4.71816809260191;14.9692039813924;12.2021976452526;7.04191957511381;10.50753370341;11.0639549004819;10.0570311226984;10.5654142423333
"Horgen";4.7531512605042;15.3121319199058;11.9524348118485;8.60785969993162;11.7100960016879;11.1668730582893;10.3606586819626;10.7703773220348
"Total";4.42105610452168;12.6243322686032;11.79041520557;7.28006033731125;10.0483219699477;10.024783275955;9.85465108678316;9.9400809421468
