"Spitalname";"2018";"2019";"2020";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";4502;4613;4301;-6.76349447214394
"Psychiatrische Universitätsklinik Zürich - Forensik";36;54;47;-12.962962962963
"Integrierte Psychiatrie Winterthur - ZU";2991;3231;3419;5.81863200247601
"Clienia Privatklinik Schlössli";2476;2508;2609;4.02711323763956
"Sanatorium Kilchberg";2324;2258;2066;-8.50310008857396
"Zentrum für Psychiatrie und Psychotherapie Affoltern";248;318;422;32.7044025157233
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";12577;12982;12864;-0.908950855030044
"Psychiatrische Universitätsklinik Zürich - KJPP";293;339;375;10.6194690265487
"Modellstation SOMOSA";24;34;25;-26.4705882352941
"Kispi Zürich - Psychosomatik und Psychiatrie";59;56;52;-7.14285714285714
"KSW - Sozialpädiatrisches Zentrum";21;30;25;-16.6666666666667
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";397;459;477;3.92156862745099
"Forel Klinik";568;628;592;-5.73248407643312
"Suchtfachklinik Zürich";169;140;151;7.85714285714285
"USZ - Zentrum für Essstörungen";60;55;44;-20
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";797;823;787;-4.37424058323208
"Privatklinik Hohenegg";494;500;487;-2.6
"Total Kanton Zürich";14265;14764;14615;-1.00921159577351
"Clienia Privatklinik Littenheid";2334;2162;;-7.36932305055699
"Spitäler Schaffhausen";784;776;;-1.02040816326531
"Klinik Meissenberg";546;518;;-5.12820512820513
"Klinik Sonnenhof";223;224;;0.448430493273544
