"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Frauen";"Männer";"Total"
"Zürich";103949;187953;187899;61208;29767;286297;284479;570776
"Winterthur-Unterland";97482;131338;165925;58704;21157;236679;237927;474606
"Oberland";63584;76958;112029;42176;15132;156454;153425;309879
"Horgen";38080;43299;65426;24861;9479;92058;89087;181145
"Total";303095;439548;531279;186949;75535;771488;764918;1536406
