"Spitalname";"0-19";"in %";"20-39";"in %";"40-64";"in %";"65-79";"in %";"80+";"in %";"Total"
"Zürcher RehaZentrum Wald";3;0.133451957295374;41;1.82384341637011;616;27.4021352313167;1026;45.6405693950178;562;25;2248
"RehaClinic Zollikerberg";0;0;5;0.866551126516464;64;11.0918544194107;257;44.5407279029463;251;43.5008665511265;577
"RehaClinic Kilchberg";0;0;7;2.4822695035461;48;17.0212765957447;126;44.6808510638298;101;35.8156028368794;282
"RehaClinic Limmattal";2;5.71428571428571;12;34.2857142857143;20;57.1428571428571;1;2.85714285714286;0;0;35
"Universitätsklinik Balgrist";6;1.58730158730159;59;15.6084656084656;129;34.1269841269841;144;38.0952380952381;40;10.5820105820106;378
"Klinik Susenberg";1;0.378787878787879;2;0.757575757575758;63;23.8636363636364;130;49.2424242424242;68;25.7575757575758;264
"Kinderspital Zürich";194;100;0;0;0;0;0;0;0;0;194
"Klinik Lengg";2;0.396039603960396;35;6.93069306930693;140;27.7227722772277;226;44.7524752475248;102;20.1980198019802;505
"Total Kanton Zürich";208;4.63975016729868;161;3.59134508141869;1080;24.0910104840509;1910;42.6053981708677;1124;25.072496096364;4483
"RehaClinic Zurzach";9;0.320284697508897;156;5.55160142348754;873;31.067615658363;1100;39.1459074733096;672;23.914590747331;2810
"RehaClinic Baden";0;0;6;0.542986425339366;165;14.9321266968326;467;42.262443438914;467;42.262443438914;1105
"Rehaklinik Bellikon";38;2.47718383311604;464;30.2477183833116;909;59.2568448500652;106;6.91003911342894;17;1.10821382007823;1534
"aarReha Schinznach";1;0.0633713561470215;53;3.35868187579214;347;21.9898605830165;602;38.149556400507;575;36.4385297845374;1578
"Reha Rheinfelden";12;0.573065902578797;101;4.8233046800382;669;31.9484240687679;829;39.5893027698185;483;23.0659025787966;2094
"Klinik Gais";0;0;40;3.92156862745098;422;41.3725490196078;440;43.1372549019608;118;11.5686274509804;1020
"Rheinburg-Klinik";1;0.13550135501355;15;2.03252032520325;197;26.6937669376694;334;45.2574525745258;191;25.8807588075881;738
"REHAB Basel";10;2.05761316872428;98;20.1646090534979;223;45.8847736625514;131;26.9547325102881;24;4.93827160493827;486
"Zürcher RehaZentrum Davos";7;0.458115183246073;159;10.4057591623037;700;45.8115183246073;477;31.217277486911;185;12.1073298429319;1528
"Reha Seewis";0;0;20;2.85714285714286;298;42.5714285714286;299;42.7142857142857;83;11.8571428571429;700
"Kliniken Valens, Rehazentrum Valens";19;0.674715909090909;210;7.45738636363636;1086;38.5653409090909;1032;36.6477272727273;469;16.6548295454545;2816
"Rehaklinik Dussnang";0;0;15;0.769230769230769;272;13.9487179487179;906;46.4615384615385;757;38.8205128205128;1950
"Rehaklinik Zihlschlacht";9;0.800711743772242;65;5.78291814946619;372;33.0960854092527;497;44.2170818505338;181;16.1032028469751;1124
