"Spitalname";"0-19";"in %";"20-39";"in %";"40-64";"in %";"65-79";"in %";"80+";"in %";"Total"
"Zürcher RehaZentrum Wald";127;0.244842876421824;913;1.7601696549065;13408;25.8492384808174;23910;46.096009253904;13512;26.0497397339503;51870
"RehaClinic Zollikerberg";0;0;80;0.680445691928213;1155;9.82393467721358;5116;43.5145019988092;5406;45.981117632049;11757
"RehaClinic Kilchberg";0;0;229;1.96617154632094;1780;15.2829054692195;5408;46.4325577401906;4230;36.3183652442689;11647
"RehaClinic Limmattal";92;6.35798203178991;505;34.899792674499;831;57.4291637871458;19;1.31306150656531;0;0;1447
"Universitätsklinik Balgrist";213;1.47650076251213;2733;18.9449604880078;5216;36.156938860391;4927;34.153611534729;1337;9.26798835436018;14426
"Klinik Susenberg";23;0.453648915187377;33;0.650887573964497;1081;21.3214990138067;2482;48.9546351084813;1451;28.6193293885602;5070
"Kinderspital Zürich";10185;100;0;0;0;0;0;0;0;0;10185
"Klinik Lengg";81;0.521101389603706;860;5.53268142048379;4164;26.7884714359238;6984;44.9305198147195;3455;22.2272259392692;15544
"Total Kanton Zürich";10721;8.7915962803208;5353;4.38964787692913;27635;22.6616699194726;48846;40.0554343725912;29391;24.1016515506864;121946
"RehaClinic Zurzach";297;0.389176439756273;3904;5.11563912730132;23597;30.92052676407;30451;39.9017231212737;18066;23.6729345475988;76315
"RehaClinic Baden";0;0;109;0.510371306831484;3119;14.6041110642881;8757;41.0029498525074;9372;43.8825677763731;21357
"Rehaklinik Bellikon";1716;2.8689895004347;16164;27.0246773222765;34381;57.4817762321942;6717;11.2301879221561;834;1.39436902293854;59812
"aarReha Schinznach";21;0.0614088955171506;1268;3.70792759598795;7463;21.8235517735474;12400;36.2604906863175;13045;38.14662104863;34197
"Reha Rheinfelden";467;0.727244413299073;2870;4.46936074125983;21002;32.7057541072958;25508;39.7228061979288;14368;22.3748345402165;64215
"Klinik Gais";0;0;1286;5.55531556438723;9823;42.4337984362175;9590;41.4272754762625;2450;10.5836105231327;23149
"Rheinburg-Klinik";41;0.178447075208914;511;2.22405988857939;6263;27.2588788300836;10012;43.5759052924791;6149;26.762708913649;22976
"REHAB Basel";1306;4.01784340870635;7417;22.818027995693;14813;45.5714505460698;7709;23.7163513305645;1260;3.87632671896631;32505
"Zürcher RehaZentrum Davos";117;0.335330027800866;3854;11.0458284371328;16767;48.0553724456163;10040;28.7753288813734;4113;11.7881402080766;34891
"Reha Seewis";13;0.0829399004721194;487;3.10705627153247;6743;43.0202883756539;6614;42.1972693632768;1817;11.5924460890647;15674
"Kliniken Valens, Rehazentrum Valens";581;0.773810316582981;6602;8.79293581769508;29793;39.6800873699772;26082;34.7375571034722;12025;16.0156093922726;75083
"Rehaklinik Dussnang";0;0;274;0.782588826687993;4812;13.7438592482577;15640;44.6703987204387;14286;40.8031532046156;35012
"Rehaklinik Zihlschlacht";431;0.877871924393026;3776;7.6910542610396;16842;34.3042203030797;19796;40.3210037477595;8251;16.8058497637282;49096
