"Spitalname";"2018";"2019";"2020";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";144;259.709589041096;258.292349726776;-0.545701573651058
"RehaClinic Zollikerberg";34;34;33.9071038251366;-0.273224043715858
"RehaClinic Kilchberg";34;34;31.9125683060109;-6.1395049823208
"RehaClinic Limmattal";;4.16438356164384;15.9562841530055;283.160770779408
"Universitätsklinik Balgrist";39;40;40;0
"Klinik Susenberg";21;18;19;5.55555555555556
"Kinderspital Zürich";34.2931506849315;38.9561643835616;35.603825136612;-8.60541405961468
"Klinik Lengg";44;46;47;2.17391304347827
"Total Kanton Zürich";350.293150684932;474.830136986301;481.672131147541;1.44093511095673
"RehaClinic Zurzach";219;219;;0
"RehaClinic Baden";63;65;;3.17460317460319
"Rehaklinik Bellikon";213;220;;3.28638497652582
"aarReha Schinznach";100;120.958904109589;;20.958904109589
"Reha Rheinfelden";183;199.931506849315;;9.25218953514484
"Klinik Gais";70;78;;11.4285714285714
"Rheinburg-Klinik";64.1753424657534;64;;-0.273224043715858
"REHAB Basel";95;100;;5.26315789473684
"Zürcher RehaZentrum Davos";100;;;
"Rehaklinik Seewis";60;60;;0
"Kliniken Valens, Rehazentrum Valens";216;220;;1.85185185185186
"Rehaklinik Dussnang";111.575342465753;114.109589041096;;2.27133210558625
"Rehaklinik Zihlschlacht";135;135;;0
