"Spitalname";"0-19";"in %";"20-39";"in %";"40-64";"in %";"65-79";"in %";"80+";"in %";"Total"
"Zürcher RehaZentrum Wald";0;0;841;1.69730973379887;14289;28.8381198409655;22683;45.7789259117238;11736;23.6856445135119;49549
"RehaClinic Zollikerberg";21;0.185054635178005;29;0.25555163905534;1419;12.5044060627423;5420;47.7617201268946;4459;39.2932675361297;11348
"RehaClinic Kilchberg";0;0;95;0.875737463126844;2549;23.497418879056;4519;41.6574483775811;3685;33.969395280236;10848
"RehaClinic Limmattal";80;1.55219247186651;1566;30.384167636787;2924;56.732634846721;425;8.24602250679084;159;3.08498253783469;5154
"Universitätsklinik Balgrist";263;2.0992975734355;2025;16.1637931034483;5203;41.5309706257982;3701;29.5418263090677;1336;10.6641123882503;12528
"Klinik Susenberg";13;0.230496453900709;58;1.02836879432624;1042;18.4751773049645;2518;44.645390070922;2009;35.6205673758865;5640
"Kinderspital Zürich";10044;100;0;0;0;0;0;0;0;0;10044
"Klinik Lengg";17;0.104990118577075;740;4.5701581027668;4931;30.4533102766798;6692;41.3290513833992;3812;23.5424901185771;16192
"Total Kanton Zürich";10438;8.60489847736659;5354;4.41374079783682;32357;26.6745257743007;45958;37.8869442635384;27196;22.4198906869575;121303
"RehaClinic Zurzach";692;0.899331999064279;3810;4.95152444571518;22940;29.8131156915239;29747;38.6595794453253;19757;25.6764484183713;76946
"RehaClinic Baden";0;0;157;1.31358768406961;2175;18.1977911646586;4734;39.6084337349398;4886;40.880187416332;11952
"Rehaklinik Bellikon";1681;2.49410228638407;17052;25.3000786361815;37840;56.1432662205671;9181;13.6218638258728;1645;2.44068903099453;67399
"aarReha Schinznach";63;0.204958032402889;931;3.02882425662047;6680;21.7320580389095;10499;34.1564187650465;12565;40.8777409070206;30738
"Reha Rheinfelden";73;0.103336494769475;3081;4.36136630664043;21051;29.7991308409892;28423;40.2347012442846;18015;25.5014651133163;70643
"Klinik Gais";185;0.688346480130972;1084;4.03333829438905;12594;46.859651733889;10412;38.740884060128;2601;9.67777943146302;26876
"Rheinburg-Klinik";72;0.329398847104035;562;2.5711410010065;5950;27.2211547259585;9652;44.1577454478909;5622;25.7205599780401;21858
"REHAB Basel";1441;5.18326678896443;6794;24.4379698571994;11967;43.045214200928;6566;23.6178554728247;1033;3.71569368008345;27801
"Zürcher RehaZentrum Davos";250;0.773538785234692;3346;10.3530431015811;15890;49.166125189517;9194;28.447662365791;3639;11.2596305578762;32319
"Rehaklinik Seewis";11;0.0635360711603997;1066;6.15722289608964;7126;41.1598220990008;6842;39.5194362617686;2268;13.0999826719806;17313
"Kliniken Valens, Rehazentrum Valens";660;1.32984082208342;5636;11.3560346564578;22253;44.8377997179126;15762;31.7590167237558;5319;10.7173080797904;49630
"Rehaklinik Dussnang";0;0;133;0.377358490566038;4253;12.0669598524613;14820;42.0485175202156;16039;45.507164136757;35245
"Rehaklinik Zihlschlacht";139;0.318274448744075;2599;5.95104526824354;14624;33.4852197009594;19118;43.775330295606;7193;16.470130286447;43673
