"Region";"Anzahl Betten";"Einwohner";"Betten pro 1000 Einwohner"
"Zürich";2589.33424657534;470265;5.50611728828499
"Winterthur";444.698630136986;226344;1.96470253303373
"Unterland";189.767123287671;178932;1.06055441892826
"Limmattal";268.586301369863;174772;1.53678107116622
"Linkes Seeufer";243.331506849315;83128;2.92719068002737
"Rechtes Seeufer";125.419178082192;84861;1.47793660317686
"Oberes Glattal";208;180961;1.14941893557175
"Oberland";160;99378;1.61001428887681
"Total";4229.13698630137;1498641;2.82198137265787
