"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Total"
"Zürich";126.800223283508;88.811349107302;109.824246652713;283.149143466795;483.318975644138;144.821603143876
"Winterthur";109.046359339087;96.0535268768428;107.312795780732;249.597538725718;393.233659191106;135.66896058629
"Unterland";109.298801487808;97.869187327272;110.21996347177;256.320836965998;408.754623921085;134.624109613901
"Limmattal";113.677372789607;114.987161019603;124.950521176936;289.742636811298;510.105871029836;156.47659427187
"Linkes Seeufer";102.395740905058;108.154162281361;115.456238361266;257.742691073133;439.690487027765;148.024767353442
"Rechtes Seeufer";91.2240184757506;111.868322263933;110.806725864349;271.468364504576;457.536945812808;151.952209251128
"Oberes Glattal";95.9976250236148;102.169155920032;104.654780795918;256.330462955069;447.086801426873;136.490048877817
"Oberland";117.132016733145;129.62962962963;140.930888575458;298.181250487862;456.468492540637;167.77606927528
"Total";112.033195020747;99.6196880597995;113.172473056261;270.793670176451;456.007409278437;144.695388605826
