"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Total"
"Zürich";80615;157052;150495;49677;25538;463377
"Winterthur";46118;61726;77549;27953;10434;223780
"Unterland";36295;49934;62965;20646;6488;176328
"Limmattal";36023;47901;60632;21526;7273;173355
"Linkes Seeufer";16905;19953;30072;11527;4394;82851
"Rechtes Seeufer";17320;17315;31758;12565;5075;84033
"Oberes Glattal";37053;47069;64278;23458;7569;179427
"Oberland";20558;25542;35450;12811;4491;98852
"Total";290887;426492;513199;180163;71262;1482003
