"Spitalname";"0-19";"in %";"20-39";"in %";"40-64";"in %";"65-79";"in %";"80+";"in %";"Total"
"Zürcher RehaZentrum Wald";1;0.0437828371278459;49;2.14535901926445;714;31.260945709282;1070;46.8476357267951;450;19.7022767075306;2284
"Rehaklinik Zollikerberg";0;0;4;0.688468158347676;83;14.2857142857143;286;49.2254733218589;208;35.8003442340792;581
"Rehaklinik Kilchberg";0;0;4;1.39372822299652;74;25.7839721254355;122;42.5087108013937;87;30.3135888501742;287
"Rehaklinik Limmattal";2;4.16666666666667;2;4.16666666666667;30;62.5;7;14.5833333333333;7;14.5833333333333;48
"Universitätsklinik Balgrist";1;0.291545189504373;51;14.868804664723;115;33.5276967930029;126;36.734693877551;50;14.5772594752187;343
"Klinik Susenberg";0;0;0;0;43;16.1654135338346;133;50;90;33.8345864661654;266
"Kinderspital Zürich";219;100;0;0;0;0;0;0;0;0;219
"Klinik Lengg";1;0.1669449081803;27;4.50751252086811;178;29.7161936560935;250;41.7362270450751;143;23.873121869783;599
"Total Kanton Zürich";224;4.8411497730711;137;2.96088178085152;1237;26.7343851307543;1994;43.0948778906419;1035;22.3687054246812;4627
"Rehaklinik Zurzach";14;0.53970701619121;113;4.3562066306862;743;28.6430223592907;1005;38.7432536622976;719;27.7178103315343;2594
"Rehaklinik Baden";0;0;5;0.886524822695036;96;17.0212765957447;226;40.0709219858156;237;42.0212765957447;564
"Rehaklinik Bellikon";44;2.84054228534538;364;23.4990316333118;885;57.1336346029697;210;13.557133634603;46;2.96965784377017;1549
"aarReha Schinznach";1;0.0634920634920635;37;2.34920634920635;313;19.8730158730159;657;41.7142857142857;567;36;1575
"Reha Rheinfelden";6;0.248550124275062;78;3.23115161557581;627;25.973487986744;980;40.5965202982601;723;29.950289975145;2414
"Klinik Gais";2;0.186741363211951;45;4.20168067226891;480;44.8179271708684;412;38.468720821662;132;12.3249299719888;1071
"Rheinburg-Klinik";3;0.367197062423501;15;1.8359853121175;226;27.6621787025704;379;46.3892288861689;194;23.7454100367197;817
"REHAB Basel";12;2.78422273781903;68;15.7772621809745;205;47.5638051044084;129;29.9303944315545;17;3.94431554524362;431
"Zürcher RehaZentrum Davos";11;0.764419735927728;128;8.8950660180681;664;46.1431549687283;447;31.0632383599722;189;13.1341209173037;1439
"Rehaklinik Seewis";1;0.149476831091181;41;6.12855007473842;268;40.0597907324365;264;39.4618834080717;95;14.2002989536622;669
"Kliniken Valens, Rehazentrum Valens";11;0.528084493518963;152;7.29716754680749;847;40.6625060009601;761;36.5338454152664;312;14.978396543447;2083
"Rehaklinik Dussnang";0;0;10;0.503018108651911;241;12.1227364185111;917;46.1267605633803;820;41.2474849094567;1988
"Rehaklinik Zihlschlacht";7;0.580431177446103;72;5.97014925373134;367;30.4311774461028;554;45.9369817578773;206;17.0812603648425;1206
