"Spitalname";"0-19";"in %";"20-39";"in %";"40-64";"in %";"65-79";"in %";"80+";"in %";"Total"
"Zürcher RehaZentrum Wald";29;0.0540812710963579;982;1.83130373160771;16378;30.5428640695224;25281;47.1458142961043;10953;20.4259366316692;53623
"Rehaklinik Zollikerberg";0;0;75;0.637863582241878;1671;14.211600612349;5668;48.2054771219595;4344;36.9450586834496;11758
"Rehaklinik Kilchberg";0;0;101;0.855135043603421;2676;22.6568453136906;5129;43.4256201845737;3905;33.0623994581323;11811
"Rehaklinik Limmattal";110;9.50734658599827;16;1.3828867761452;764;66.0328435609335;126;10.8902333621435;141;12.1866897147796;1157
"Universitätsklinik Balgrist";77;0.615753698520592;2096;16.7612954818073;4668;37.3290683726509;4208;33.6505397840864;1456;11.6433426629348;12505
"Klinik Susenberg";0;0;0;0;712;13.1220051603391;2658;48.9863619609289;2056;37.891632878732;5426
"Kinderspital Zürich";11426;100;0;0;0;0;0;0;0;0;11426
"Klinik Lengg";5;0.0274740370350019;665;3.65404692565526;5051;27.7542722127589;7749;42.579262596846;4729;25.9849442277048;18199
"Total Kanton Zürich";11647;9.25062547158572;3935;3.12537230451531;31920;25.3524482744927;50819;40.3629720821254;27584;21.9085818672809;125905
"Rehaklinik Zurzach";275;0.388445511688679;3214;4.53986863479059;20448;28.8833957200367;26877;37.9645455187513;19981;28.2237446147327;70795
"Rehaklinik Baden";0;0;71;0.626599594034066;2185;19.2833818727385;4288;37.8430853410996;4787;42.2469331921278;11331
"Rehaklinik Bellikon";1868;2.86406427279139;15046;23.0689031308454;37751;57.8807764251326;8645;13.2547299990801;1912;2.9315261721505;65222
"aarReha Schinznach";12;0.0343161085532901;712;2.03608910749521;6375;18.2304326689353;14291;40.8676256112557;13579;38.8315365037605;34969
"Reha Rheinfelden";158;0.234595397178916;2195;3.25909428359317;17439;25.8930957683742;27666;41.0779510022272;19892;29.5352635486266;67350
"Klinik Gais";35;0.137540771014265;1313;5.15974378119228;11926;46.8660352890321;9312;36.5937045624239;2861;11.2429755963375;25447
"Rheinburg-Klinik";72;0.331781945532464;408;1.88009769135063;6054;27.897331920188;10636;49.0115662872679;4531;20.879222155661;21701
"REHAB Basel";472;1.74208311803351;4980;18.380453236879;13707;50.5905366501809;7304;26.9579980807559;631;2.32892891415073;27094
"Zürcher RehaZentrum Davos";303;0.872922128431909;3579;10.3108524675175;16503;47.5440062228112;9914;28.5615510933134;4412;12.710668087926;34711
"Rehaklinik Seewis";37;0.225156696890403;1334;8.11781172031887;6992;42.5485303961541;6049;36.8100772835149;2021;12.2984239031218;16433
"Kliniken Valens, Rehazentrum Valens";333;0.603961114335461;4034;7.3164538595473;23118;41.9290481717934;19646;35.6318920487522;8005;14.5186448055717;55136
"Rehaklinik Dussnang";0;0;151;0.410136621669338;4188;11.3751799440476;16009;43.4826303066518;16469;44.7320531276313;36817
"Rehaklinik Zihlschlacht";269;0.575635017440243;2699;5.77560933855471;15182;32.4880700177612;20509;43.8873552887805;8072;17.2733303374634;46731
