"Spitalname";"2019";"2020";"2021";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";2248;2106;2284;8.45204178537511
"Rehaklinik Zollikerberg";577;549;581;5.82877959927139
"Rehaklinik Kilchberg";282;282;287;1.77304964539007
"Rehaklinik Limmattal";35;144;48;-66.6666666666667
"Universitätsklinik Balgrist";378;319;343;7.52351097178683
"Klinik Susenberg";264;265;266;0.377358490566038
"Kinderspital Zürich";194;193;219;13.4715025906736
"Klinik Lengg";505;518;599;15.6370656370656
"Total Kanton Zürich";4483;4376;4627;5.73583180987203
"Rehaklinik Zurzach";2791;2594;;-7.0584020064493
"Rehaklinik Baden";587;564;;-3.91822827938672
"Rehaklinik Bellikon";1586;1549;;-2.33291298865069
"aarReha Schinznach";1393;1575;;13.0653266331658
"Reha Rheinfelden";2347;2414;;2.85470813804858
"Klinik Gais";1143;1071;;-6.2992125984252
"Rheinburg-Klinik";770;817;;6.1038961038961
"REHAB Basel";501;431;;-13.9720558882236
"Zürcher RehaZentrum Davos";1398;1439;;2.93276108726752
"Rehaklinik Seewis";727;669;;-7.97799174690509
"Kliniken Valens, Rehazentrum Valens";1805;2083;;15.4016620498615
"Rehaklinik Dussnang";1913;1988;;3.9205436487193
"Rehaklinik Zihlschlacht";1145;1206;;5.32751091703056
