"Spitalname";"2019";"2020";"2021";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";259.709589041096;258.292349726776;259;0.273972602739714
"Rehaklinik Zollikerberg";34;33.9071038251366;34;0.273972602739736
"Rehaklinik Kilchberg";34;31.9125683060109;34;6.54109589041096
"Rehaklinik Limmattal";4.16438356164384;15.9562841530055;;
"Universitätsklinik Balgrist";40;40;38;-5
"Klinik Susenberg";18;19;19;0
"Kinderspital Zürich";38.9561643835616;35.603825136612;38.9643835616438;9.43875668453413
"Klinik Lengg";46;47;52;10.6382978723404
"Total Kanton Zürich";474.830136986301;481.672131147541;474.964383561644;-1.39259615662557
"Rehaklinik Zurzach";219;207.431693989071;;-5.2823315118397
"Rehaklinik Baden";65;64.8224043715847;;-0.273224043715847
"Rehaklinik Bellikon";220;220;;0
"aarReha Schinznach";120.958904109589;133.584699453552;;10.4380867509546
"Reha Rheinfelden";199.931506849315;199.385245901639;;-0.273224043715847
"Klinik Gais";78;77.7868852459016;;-0.273224043715836
"Rheinburg-Klinik";64;64;;0
"REHAB Basel";100;100;;0
"Rehaklinik Seewis";60;60;;0
"Kliniken Valens, Rehazentrum Valens";220;237;;7.72727272727274
"Rehaklinik Dussnang";114.109589041096;126;;10.4201680672269
"Rehaklinik Zihlschlacht";135;149.833333333333;;10.9876543209877
