"Spitalname";"0-19";"in %";"20-39";"in %";"40-64";"in %";"65-79";"in %";"80+";"in %";"Total"
"Zürcher RehaZentrum Wald";161;0.339340288755401;1050;2.21308883970914;12691;26.7488671092844;22490;47.4022552429128;11053;23.2964485193382;47445
"RehaClinic Zollikerberg";0;0;113;0.984835279762942;1538;13.4042182325257;5286;46.0693742374063;4537;39.541572250305;11474
"RehaClinic Kilchberg";0;0;221;1.90009457484309;2412;20.7376837761156;5570;47.8892614564526;3428;29.4729601925888;11631
"Universitätsklinik Balgrist";137;1.0221592180855;2323;17.3319406103111;4584;34.2012982168171;4867;36.3127657987018;1492;11.1318361560845;13403
"Klinik Susenberg";0;0;54;0.866634569090034;1206;19.3548387096774;3047;48.900658000321;1924;30.8778687209116;6231
"Kinderspital Zürich";10809;100;0;0;0;0;0;0;0;0;10809
"Klinik Lengg";2;0.0134084204880665;707;4.73987664253151;4114;27.5811209439528;5352;35.880933226066;4741;31.7846607669617;14916
"Total Kanton Zürich";11109;9.58424281117083;4468;3.85474812137108;26545;22.9015865894797;46612;40.2143060504361;27175;23.4451164275423;115909
"RehaClinic Zurzach";315;0.406982002351452;4739;6.12281812426517;25933;33.5056008475562;28769;37.1697308750759;17643;22.7948681507513;77399
"RehaClinic Baden";0;0;307;1.90375790648642;2712;16.8175617015999;6537;40.5370209599405;6570;40.7416594319732;16126
"Rehaklinik Bellikon";1597;2.82644862128774;16138;28.5618208205019;34618;61.2686276591979;3611;6.39092421507203;538;0.952178683940392;56502
"aarReha Schinznach";11;0.0328505300880991;781;2.33238763625504;7962;23.7778109601314;12968;38.7277885620427;11763;35.1291623114828;33485
"Reha Rheinfelden";331;0.527330370087145;4203;6.69598049992831;20334;32.3949720403384;26299;41.8980707036913;11602;18.4836463859548;62769
"Klinik Gais";163;0.360085713654539;4392;9.70243223540327;26105;57.6689420549186;11972;26.4475224777432;2635;5.82101751828043;45267
"Rheinburg-Klinik";0;0;290;1.40381450285604;4813;23.2984800077452;9749;47.1923709942879;5806;28.1053344951108;20658
"REHAB Basel";1477;4.75087651580945;6548;21.0621120010293;14548;46.7946862234231;7418;23.8605294477146;1098;3.53179581202355;31089
"Zürcher RehaZentrum Davos";211;0.604203653857167;3960;11.3395567264189;17160;49.1380791478151;9667;27.681690624821;3924;11.2364698470878;34922
"Reha Seewis";59;0.301589735725604;852;4.35516025149517;8711;44.5279353882329;7757;39.6513827122629;2184;11.1639319122834;19563
"Kliniken Valens, Rehabilitationszentrum";2564;3.41884900528028;6709;8.94581044322364;30688;40.9195157075044;26265;35.0218678329511;8770;11.6939570110406;74996
"kneipp-hof Dussnang";0;0;244;0.741528643063364;5098;15.493086157119;15479;47.0414830572861;12084;36.7239021425315;32905
"Rehaklinik Zihlschlacht";587;1.28460444249918;3370;7.37498632235474;16938;37.0675128569865;18585;40.6718459350038;6215;13.6010504431557;45695
