"Spitalname";"2015";"2016";"2017";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";43406.398;44307.585;41698.677;-5.88817467708971
"RehaClinic Zollikerberg";9081.001;7854.828;8732.833;11.1779023041625
"RehaClinic Kilchberg";10645.774;9539.405;9760.868;2.321559887645
"Total Kanton Zürich";63133.173;61701.818;60192.378;-2.44634607038644
"RehaClinic Zurzach";62661.566;66503.258;;6.13085858722395
"RehaClinic Baden";10902.775;10542.703;;-3.30257205161073
"Rehaklinik Bellikon";77494.8;76488.13;;-1.29901619205417
"aarReha Schinznach";23743.822;23595.048;;-0.626579832008511
"Reha Rheinfelden";57555.204;59819.132;;3.93348966324576
"Klinik Gais";21653.547;23487.337;;8.4687741920527
"Rheinburg-Klinik";18557.162;20194.99;;8.82585386709454
"REHAB Basel";50650.6;56262.625;;11.0798786194043
"Zürcher RehaZentrum Davos";28216.94;28862.064;;2.28630035716135
"Reha Seewis";9722.802;10572.466;;8.73888000599006
"Kliniken Valens, Rehabilitationszentrum";61856.158;64577.521;;4.39950214819356
"kneipp-hof Dussnang";21724.005;22126.04;;1.85064862579436
"Rehaklinik Zihlschlacht";48982.284;52104.19;;6.37354109498038
