"Spitalname";"2015";"2016";"2017";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";144;144.394520547945;144;-0.273224043715847
"RehaClinic Zollikerberg";34;34;34;0
"RehaClinic Kilchberg";34;34;34;0
"Universitätsklinik Balgrist";42;42.1150684931507;39;-7.39656518345043
"Klinik Susenberg";20;20.0547945205479;20;-0.273224043715836
"Kinderspital Zürich";37.1698630136986;37.4027397260274;35.4438356164384;-5.23732786404922
"Klinik Lengg";42;42.1150684931507;44;4.47567004944054
"Total Kanton Zürich";353.169863013699;354.082191780822;350.443835616438;-1.02754565150107
"RehaClinic Zurzach";218;219;;0.458715596330284
"RehaClinic Baden";48;48;;0
"Rehaklinik Bellikon";205;205.561643835616;;0.273972602739736
"aarReha Schinznach";96;96.2630136986301;;0.273972602739714
"Reha Rheinfelden";177;179;;1.12994350282485
"Klinik Gais";130;90;;-30.7692307692308
"Rheinburg-Klinik";60;64.1753424657534;;6.95890410958906
"REHAB Basel";85;90.2465753424657;;6.17244157937147
"Zürcher RehaZentrum Davos";100;100.27397260274;;0.273972602739736
"Reha Seewis";64;64.1753424657534;;0.273972602739736
"Kliniken Valens, Rehabilitationszentrum";203;214.586301369863;;5.70753762062217
"kneipp-hof Dussnang";100;100.27397260274;;0.273972602739736
"Rehaklinik Zihlschlacht";130.808219178082;135.369863013699;;3.48727615457114
