"Spitalname";"0-19";"in %";"20-39";"in %";"40-64";"in %";"65-79";"in %";"80+";"in %";"Total"
"Zürcher RehaZentrum Wald";4;0.18450184501845;55;2.53690036900369;612;28.2287822878229;1045;48.2011070110701;452;20.8487084870849;2168
"RehaClinic Zollikerberg";0;0;5;0.961538461538462;76;14.6153846153846;242;46.5384615384615;197;37.8846153846154;520
"RehaClinic Kilchberg";0;0;8;2.72108843537415;53;18.0272108843537;142;48.2993197278912;91;30.952380952381;294
"Universitätsklinik Balgrist";3;0.783289817232376;64;16.710182767624;127;33.1592689295039;137;35.7702349869452;52;13.5770234986945;383
"Klinik Susenberg";0;0;3;0.909090909090909;76;23.030303030303;168;50.9090909090909;83;25.1515151515152;330
"Kinderspital Zürich";192;100;0;0;0;0;0;0;0;0;192
"Klinik Lengg";1;0.200400801603206;25;5.01002004008016;138;27.6553106212425;187;37.4749498997996;148;29.6593186372746;499
"Total Kanton Zürich";200;4.55996352029184;160;3.64797081623347;1082;24.6694026447788;1921;43.7984496124031;1023;23.3242134062927;4386
"RehaClinic Zurzach";16;0.531032193826751;191;6.33919681380684;992;32.9239960172585;1134;37.636906737471;680;22.5688682376369;3013
"RehaClinic Baden";0;0;8;1.01394169835234;138;17.4904942965779;326;41.318124207858;317;40.1774397972117;789
"Rehaklinik Bellikon";33;2.18832891246684;446;29.5755968169761;942;62.4668435013263;74;4.90716180371353;13;0.862068965517241;1508
"aarReha Schinznach";1;0.0634517766497462;35;2.22081218274112;380;24.1116751269036;636;40.3553299492386;524;33.248730964467;1576
"Reha Rheinfelden";7;0.326797385620915;126;5.88235294117647;678;31.6526610644258;931;43.4640522875817;400;18.6741363211951;2142
"Klinik Gais";6;0.349243306169965;136;7.91618160651921;909;52.9103608847497;543;31.6065192083818;124;7.21769499417928;1718
"Rheinburg-Klinik";0;0;14;1.84453227931489;183;24.1106719367589;358;47.167325428195;204;26.8774703557312;759
"REHAB Basel";21;4.66666666666667;81;18;214;47.5555555555556;114;25.3333333333333;20;4.44444444444444;450
"Zürcher RehaZentrum Davos";8;0.505689001264223;166;10.4930467762326;752;47.5347661188369;461;29.1403286978508;195;12.3261694058154;1582
"Reha Seewis";2;0.24390243902439;32;3.90243902439024;358;43.6585365853659;336;40.9756097560976;92;11.219512195122;820
"Kliniken Valens, Rehabilitationszentrum";18;0.647482014388489;233;8.38129496402878;1147;41.2589928057554;1031;37.0863309352518;351;12.6258992805755;2780
"kneipp-hof Dussnang";0;0;14;0.697211155378486;314;15.6374501992032;953;47.4601593625498;727;36.2051792828685;2008
"Rehaklinik Zihlschlacht";8;0.763358778625954;62;5.91603053435114;349;33.3015267175573;461;43.9885496183206;168;16.030534351145;1048
