"Spitalname";"2015";"2016";"2017";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";48461;48698;47445;-2.57300094459731
"RehaClinic Zollikerberg";11388;11895;11474;-3.53930222782681
"RehaClinic Kilchberg";11428;12112;11631;-3.97126816380449
"Universitätsklinik Balgrist";14826;13925;13403;-3.74865350089767
"Klinik Susenberg";7038;7329;6231;-14.98158002456
"Kinderspital Zürich";12306;11416;10809;-5.31709880868956
"Klinik Lengg";12968;14303;14916;4.28581416486051
"Total Kanton Zürich";118415;119678;115909;-3.14928391183008
"RehaClinic Zurzach";74715;77399;;3.59231747306432
"RehaClinic Baden";16204;16126;;-0.481362626511972
"Rehaklinik Bellikon";59129;56502;;-4.44282839215951
"aarReha Schinznach";32550;33485;;2.87250384024578
"Reha Rheinfelden";61602;62769;;1.89441901236973
"Klinik Gais";44497;45267;;1.73045373845429
"Rheinburg-Klinik";18983;20658;;8.8236843491545
"REHAB Basel";27840;31089;;11.6702586206896
"Zürcher RehaZentrum Davos";33834;34922;;3.21570018324762
"Reha Seewis";18957;19563;;3.1967083399272
"Kliniken Valens, Rehabilitationszentrum";69137;74996;;8.47447820993101
"kneipp-hof Dussnang";32530;32905;;1.15278204734091
"Rehaklinik Zihlschlacht";41251;45695;;10.7730721679475
