"Spitalname";"Total absolut";"davon Frauen in %";"davon Diplom Ausland in %";"davon in Ausbildung in %"
"Zürcher RehaZentrum Wald";385;73.7662337662338;22.8571428571429;17.4025974025974
"Rehaklinik Zollikerberg";63;88.8888888888889;31.7460317460317;3.17460317460317
"Rehaklinik Kilchberg";96;86.4583333333333;51.0416666666667;2.08333333333333
"Total Kanton Zürich";544;77.7573529411765;28.8602941176471;13.0514705882353
"Rehaklinik Zurzach";544;77.9411764705882;40.625;20.2205882352941
"Rehaklinik Baden";108;83.3333333333333;38.8888888888889;1.85185185185185
"Rehaklinik Bellikon";682;73.0205278592375;25.0733137829912;14.3695014662757
"aarReha Schinznach";395;87.0886075949367;21.0126582278481;11.3924050632911
"Reha Rheinfelden";654;77.3700305810398;33.4862385321101;12.8440366972477
"Klinik Gais";292;79.7945205479452;21.5753424657534;3.42465753424658
"Rheinburg-Klinik";191;83.2460732984293;31.9371727748691;3.1413612565445
"REHAB Basel";605;79.8347107438017;43.1404958677686;12.396694214876
"Rehaklinik Seewis";120;79.1666666666667;16.6666666666667;5.83333333333333
"Kliniken Valens, Rehazentrum Valens";691;75.1085383502171;24.8914616497829;9.26193921852388
"Rehaklinik Dussnang";221;75.1131221719457;32.1266968325792;8.1447963800905
"Rehaklinik Zihlschlacht";491;80.2443991853361;30.142566191446;13.0346232179226
