"Spitalname";"0-19";"in %";"20-39";"in %";"40-64";"in %";"65-79";"in %";"80+";"in %";"Total"
"Zürcher RehaZentrum Wald";1;0.0457038391224863;57;2.60511882998172;598;27.3308957952468;993;45.3839122486289;539;24.6343692870201;2188
"Rehaklinik Zollikerberg";0;0;7;1.10935023771791;96;15.2139461172742;296;46.9096671949287;232;36.7670364500792;631
"Rehaklinik Kilchberg";0;0;15;4.67289719626168;82;25.5451713395639;114;35.5140186915888;110;34.2679127725857;321
"Universitätsklinik Balgrist";3;1.3215859030837;42;18.5022026431718;96;42.2907488986784;76;33.4801762114537;10;4.40528634361234;227
"Klinik Susenberg";0;0;0;0;46;21.1009174311927;92;42.2018348623853;80;36.697247706422;218
"Kinderspital Zürich";233;99.5726495726496;1;0.427350427350427;0;0;0;0;0;0;234
"Klinik Lengg";1;0.179533213644524;29;5.2064631956912;159;28.5457809694794;233;41.8312387791741;135;24.2369838420108;557
"Total Kanton Zürich";238;5.43875685557587;151;3.45063985374771;1077;24.6115173674589;1804;41.2248628884826;1106;25.2742230347349;4376
"Rehaklinik Zurzach";17;0.637181409295352;129;4.83508245877062;852;31.9340329835082;984;36.8815592203898;686;25.712143928036;2668
"Rehaklinik Baden";0;0;4;0.612557427258806;104;15.9264931087289;282;43.1852986217458;263;40.2756508422665;653
"Rehaklinik Bellikon";33;1.97723187537448;370;22.1689634511684;965;57.8190533253445;248;14.8591971240264;53;3.17555422408628;1669
"aarReha Schinznach";0;0;36;2.04545454545455;390;22.1590909090909;685;38.9204545454545;649;36.875;1760
"Reha Rheinfelden";9;0.384779820436084;73;3.12099187687046;599;25.6092347156905;936;40.0171013253527;722;30.8678922616503;2339
"Klinik Gais";1;0.078003120124805;53;4.13416536661466;559;43.603744149766;537;41.8876755070203;132;10.2964118564743;1282
"Rheinburg-Klinik";1;0.13531799729364;13;1.75913396481732;192;25.9810554803789;348;47.0906630581867;185;25.0338294993234;739
"REHAB Basel";14;2.69230769230769;83;15.9615384615385;259;49.8076923076923;151;29.0384615384615;13;2.5;520
"Zürcher RehaZentrum Davos";9;0.656934306569343;151;11.021897810219;625;45.6204379562044;449;32.7737226277372;136;9.92700729927007;1370
"Rehaklinik Seewis";0;0;21;2.81501340482574;282;37.8016085790885;342;45.8445040214477;101;13.5388739946381;746
"Kliniken Valens, Rehazentrum Valens";17;0.740740740740741;174;7.58169934640523;947;41.2636165577342;820;35.7298474945534;337;14.6840958605664;2295
"Rehaklinik Dussnang";0;0;13;0.634146341463415;260;12.6829268292683;923;45.0243902439024;854;41.6585365853659;2050
"Rehaklinik Zihlschlacht";6;0.404312668463612;75;5.05390835579515;467;31.4690026954178;659;44.4070080862534;277;18.6657681940701;1484
