"Spitalname";"0-19";"in %";"20-39";"in %";"40-64";"in %";"65-79";"in %";"80+";"in %";"Total"
"Zürcher RehaZentrum Wald";9;0.0169036305242004;1594;2.99382078395282;14095;26.4729635820671;23788;44.6781736566309;13757;25.8381383468249;53243
"Rehaklinik Zollikerberg";0;0;112;0.913390963953678;1820;14.8426031642473;5577;45.4819768390148;4753;38.7620290327842;12262
"Rehaklinik Kilchberg";0;0;453;3.70309817706205;3593;29.3713725169623;4273;34.9301070873866;3914;31.9954222185891;12233
"Universitätsklinik Balgrist";226;2.18992248062016;1756;17.015503875969;4146;40.1744186046512;3458;33.5077519379845;734;7.11240310077519;10320
"Klinik Susenberg";0;0;0;0;1045;20.8208806535166;2132;42.4785813907153;1842;36.7005379557681;5019
"Kinderspital Zürich";12055;99.3080154872724;84;0.691984512727572;0;0;0;0;0;0;12139
"Klinik Lengg";78;0.420462508759636;871;4.69516468114926;5053;27.2384238046467;8030;43.2860762223061;4519;24.3598727831384;18551
"Total Kanton Zürich";12368;9.99297066261605;4870;3.93481299538649;29752;24.0387179134988;47258;38.1830374817197;29519;23.850460946779;123767
"Rehaklinik Zurzach";414;0.60605173398135;3149;4.60979930025911;22091;32.3388619695218;25448;37.2531510298488;17209;25.192135966389;68311
"Rehaklinik Baden";0;0;80;0.629822075263738;1870;14.7220910092899;5503;43.3238860022044;5249;41.324200913242;12702
"Rehaklinik Bellikon";1390;2.00736515271861;14208;20.5184489854863;38842;56.0935807639541;12100;17.4741858617951;2705;3.90641923604592;69245
"aarReha Schinznach";0;0;667;1.78523633638456;8300;22.215084845565;14214;38.0440019270917;14181;37.9556768909587;37362
"Reha Rheinfelden";330;0.495942290351668;2203;3.31079050195371;17962;26.9942891493838;25551;38.3994589720469;20494;30.7995190862639;66540
"Klinik Gais";26;0.0916687233367415;1339;4.72093925184219;12659;44.6320911046081;11453;40.3800726298346;2886;10.1752282903783;28363
"Rheinburg-Klinik";49;0.218837925952392;512;2.28663302219642;6434;28.7347595015855;9982;44.5804117725872;5414;24.1793577776785;22391
"REHAB Basel";475;1.62487599630555;4486;15.3456709882667;14647;50.1043341429207;8825;30.1884856155714;800;2.73663325693565;29233
"Zürcher RehaZentrum Davos";235;0.624186565380223;4467;11.8648569683126;17641;46.8564902122234;11410;30.3062498339929;3896;10.3482164200908;37649
"Rehaklinik Seewis";0;0;534;3.24896568508153;6085;37.0223898758822;7691;46.7936237527379;2126;12.9350206862984;16436
"Kliniken Valens, Rehazentrum Valens";514;0.885702962107766;4661;8.03163717195389;24701;42.5637137490738;20033;34.5200144745231;8124;13.9989316423414;58033
"Rehaklinik Dussnang";0;0;259;0.617887730515066;4932;11.7661092158313;18094;43.1662571271799;18632;44.4497459264737;41917
"Rehaklinik Zihlschlacht";292;0.51468255367152;3311;5.83600662741918;17930;31.6036239292135;24730;43.5893820284133;10471;18.4563048612825;56734
