"Spitalname";"2019";"2020";"2021";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";4613;4301;4182;-2.76679841897233
"Psychiatrische Universitätsklinik Zürich - Forensik";54;47;54;14.8936170212766
"Integrierte Psychiatrie Winterthur - ZU";3231;3419;3321;-2.86633518572682
"Clienia Privatklinik Schlössli";2508;2609;2749;5.36604062859334
"Sanatorium Kilchberg";2258;2066;1995;-3.43659244917716
"Zentrum für Psychiatrie und Psychotherapie Affoltern";318;422;397;-5.92417061611374
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";12982;12864;12698;-1.29042288557214
"Psychiatrische Universitätsklinik Zürich - KJPP";339;375;390;4
"Modellstation SOMOSA";34;25;36;44
"Kispi Zürich - Psychosomatik und Psychiatrie";56;52;52;0
"KSW - Sozialpädiatrisches Zentrum";30;25;28;12
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";459;477;506;6.07966457023061
"Forel Klinik";628;592;589;-0.506756756756754
"Suchtfachklinik Zürich";140;151;184;21.8543046357616
"USZ - Zentrum für Essstörungen";55;44;45;2.27272727272727
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";823;787;818;3.93900889453622
"Privatklinik Hohenegg";500;487;496;1.84804928131417
"Total Kanton Zürich";14764;14615;14518;-0.663701676359907
"Clienia Privatklinik Littenheid";2162;2121;;-1.89639222941721
"Spitäler Schaffhausen";776;743;;-4.25257731958762
"Klinik Meissenberg";518;479;;-7.52895752895753
"Klinik Sonnenhof";224;232;;3.57142857142858
