"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Frauen";"Männer";"Total"
"Zürich";105506;188336;190919;61389;29550;288235;287465;575700
"Winterthur-Unterland";98376;131792;168054;59736;21906;239244;240620;479864
"Oberland";63851;77307;113304;42804;15631;157948;154949;312897
"Horgen";38482;43434;66205;25084;9676;92937;89944;182881
"Total";306215;440869;538482;189013;76763;778364;772978;1551342
