"Spitalname";"2019";"2020";"2021";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";28.4359419033167;29.4745408044641;30.8067910090866;4.52000325793271
"Psychiatrische Universitätsklinik Zürich - Forensik";496.259259259259;563.404255319149;669.777777777778;18.8804968110104
"Integrierte Psychiatrie Winterthur - ZU";26.1104921077066;22.8929511553086;25.6772056609455;12.1620602199699
"Clienia Privatklinik Schlössli";31.4198564593301;32.0057493292449;30.5787559112404;-4.45855337840996
"Sanatorium Kilchberg";27.8649247121346;31.390609874153;32.459649122807;3.40560203493947
"Zentrum für Psychiatrie und Psychotherapie Affoltern";26.3930817610063;23.6848341232227;25.5465994962217;7.86058016413749
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";30.2302418733631;30.3072139303483;32.2283824224287;6.33898086605942
"Psychiatrische Universitätsklinik Zürich - KJPP";51.7994100294985;53.528;54.0923076923077;1.05422898727339
"Modellstation SOMOSA";156.147058823529;156.48;150.305555555556;-3.94583617359691
"Kispi Zürich - Psychosomatik und Psychiatrie";69.3214285714286;69.9038461538462;88.9807692307692;27.2902338376891
"KSW - Sozialpädiatrisches Zentrum";54.5333333333333;72.56;78.75;8.53087100330761
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";61.8453159041394;61.706498951782;65.8873517786561;6.77538492362224
"Forel Klinik";50.4251592356688;56.1739864864865;59.1460101867572;5.2907473479485
"Suchtfachklinik Zürich";24.8785714285714;53.0397350993377;54.0869565217391;1.97440922440515
"USZ - Zentrum für Essstörungen";70.9818181818182;82.6590909090909;90.6222222222222;9.63370299086548
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";47.453219927096;57.0533672172808;59.739608801956;4.70829631219651
"Privatklinik Hohenegg";44.27;48.2956878850103;48.6088709677419;0.648470073513274
"Total Kanton Zürich";32.6486724464915;33.3716729387615;35.5112274417964;6.41128932002006
"Clienia Privatklinik Littenheid";37.8871415356152;40.5502121640735;;7.02895631742237
"Spitäler Schaffhausen";26.9265463917526;25.1049798115747;;-6.76494695486018
"Klinik Meissenberg";48.3339768339768;50.4718162839248;;4.42305721561318
"Klinik Sonnenhof";60.8571428571429;57.551724137931;;-5.43143920997248
