"Spitalname";"2019";"2020";"2021";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";0.932124180505599;1.00056024292133;0.981128708695394;-1.94206539420385
"Integrierte Psychiatrie Winterthur - ZU";0.995754017671826;0.923887587822014;1.02277174879915;10.7030511374488
"Clienia Privatklinik Schlössli";0.965750915750916;0.966096965469131;0.983689886330516;1.82103054767815
"Sanatorium Kilchberg";0.944252531268612;0.959283677833215;0.958615466856736;-0.069657286152125
"Zentrum für Psychiatrie und Psychotherapie Affoltern";0.943123287671233;0.982291034203603;0.977893245158243;-0.447707338479908
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";0.95272573858907;0.971455113588379;0.986164875876532;1.51419886337496
"Modellstation SOMOSA";0.668815471394037;0.81468981035037;0.768573730862208;-5.66056907822732
"Kispi Zürich - Psychosomatik und Psychiatrie";0.810958904109589;0.816859852476291;0.889567966280295;8.90092879256965
"KSW - Sozialpädiatrisches Zentrum";0.717351598173516;0.831963470319635;1.02374429223744;23.0515916575192
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0.728234398782344;0.81834764764004;0.854794520547945;4.4537151188754
"Forel Klinik";0.854007866540079;0.921657739544446;0.937935711379357;1.7661623329889
"Suchtfachklinik Zürich";0.808519611978068;0.940327868852459;0.991875295229098;5.4818567102074
"USZ - Zentrum für Essstörungen";0.89634703196347;0.834244080145719;0.974885844748858;16.8585870670575
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";0.853349859742971;0.91743882157282;0.952074088365811;3.77521268760066
"Privatklinik Hohenegg";0.8546771037182;0.92111631537861;0.932446183953033;1.23001497045092
"Total Kanton Zürich";0.933564228127114;0.959754519833734;0.976869999770763;1.78331850315159
"Clienia Privatklinik Littenheid";0.96713494607986;0.970329223682428;;0.330282512850499
"Spitäler Schaffhausen";0.945779938135219;0.790322580645161;;-16.4369480913891
"Klinik Meissenberg";0.932913735653462;0.918666359021689;;-1.5271912168592
"Klinik Sonnenhof";0.930616438356164;0.877937158469945;;-5.66068658525648
