"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Total"
"Zürich";86741;164223;157582;50269;25004;483819
"Winterthur";46872;62747;78574;28903;11114;228210
"Unterland";38487;51837;66871;22685;7444;187324
"Limmattal";37401;48736;62890;22307;8035;179369
"Linkes Seeufer";17122;19980;30476;11894;4791;84263
"Rechtes Seeufer";17786;17891;32765;12782;5502;86726
"Oberes Glattal";37966;48206;66200;24249;8795;185416
"Oberland";20720;25928;35921;13860;4850;101279
"Total";303095;439548;531279;186949;75535;1536406
