"Spitalname";"2018";"2019";"2020";"% Änd. Vorjahr"
"Universitätsspital Zürich";41975;43018;38650;-10.1538890696918
"Kantonsspital Winterthur";27527;27914;26797;-4.00157626997206
"Stadtspital Triemli";24342;24717;23959;-3.06671521624793
"Klinik Hirslanden";18292;18799;18435;-1.9362732060216
"See-Spital Standort Horgen";7270;7225;6383;-11.6539792387543
"See-Spital Standort Kilchberg";2742;2577;2338;-9.27435001940241
"Spital Uster";10428;10318;9628;-6.68734250823803
"Spital Limmattal";11166;11427;11338;-0.778857092850271
"Spital Bülach";10329;10542;10058;-4.59115917283248
"Spital Zollikerberg";10785;10731;10821;0.838691641039979
"GZO AG Spital Wetzikon";10369;10427;9879;-5.25558645823343
"Stadtspital Waid";8347;8680;8134;-6.29032258064516
"Schulthess Klinik";7909;7798;7671;-1.62862272377533
"Kinderspital Zürich";8096;8313;7487;-9.93624443642488
"Spital Männedorf";7719;8090;7812;-3.4363411619283
"Universitätsklinik Balgrist";5072;5277;5415;2.61512222853895
"Spital Affoltern";3476;3379;2642;-21.8111867416395
"Paracelsus-Spital Richterswil";2207;1868;1483;-20.610278372591
"Limmatklinik";1584;1540;1528;-0.779220779220779
"Klinik Lengg";878;897;877;-2.22965440356745
"Uroviva Klinik für Urologie";1099;1333;1401;5.10127531882971
"Adus Medica";1096;810;737;-9.01234567901234
"Klinik Susenberg";207;217;176;-18.8940092165899
"Sune-Egge";128;125;144;15.2
"Spitäler mit Zürcher Leistungsauftrag";223043;226022;213793;-5.41053525762979
"Geburtshaus Zürcher Oberland";856;828;790;-4.58937198067633
"Geburtshaus Delphys";500;524;536;2.29007633587786
"Geburtshäuser mit Zürcher Leistungsauftrag";1356;1352;1326;-1.92307692307693
"Klinik Im Park";6767;6058;6191;2.19544404093761
"Privatklinik Bethanien";3766;4192;4116;-1.81297709923665
"Klinik Lindberg";1392;1399;1213;-13.2952108649035
"Klinik Pyramide am See";1733;1573;1444;-8.20089001907184
"Klinik Tiefenbrunnen";61;88;80;-9.09090909090909
"Spitäler ohne Zürcher Leistungsauftrag";13719;13310;13044;-1.9984973703982
"Total Kanton Zürich";238118;240684;228163;-5.20225690116501
"Spitäler Schaffhausen";9205;9444;;2.59641499185226
