"Spitalname";"2020";"2021";"2022";"% Änd. Vorjahr"
"Universitätsspital Zürich";245508;248779;241260;-3.02236121216019
"Kantonsspital Winterthur";123434;126974;123384;-2.82735048120087
"Stadtspital Triemli";110933;115961;117991;1.75058855994688
"Klinik Hirslanden";99957;101769;103188;1.39433422751525
"See-Spital Standort Horgen";31437;33473;34735;3.77020285005825
"See-Spital Standort Kilchberg";7447;7831;6131;-21.7085940492913
"Spital Uster";46674;43919;45847;4.38989958787768
"Spital Limmattal";49039;50879;53427;5.00796006210813
"Spital Bülach";45394;46864;47955;2.32801297371117
"Spital Zollikerberg";45758;48906;50041;2.3207786365681
"GZO AG Spital Wetzikon";37981;39605;40233;1.58565837646762
"Stadtspital Waid";55079;57941;57675;-0.459087692652871
"Schulthess Klinik";30856;30450;31015;1.85550082101806
"Kinderspital Zürich";41407;43799;44149;0.799105002397305
"Spital Männedorf";38204;39347;41542;5.57857015782652
"Universitätsklinik Balgrist";27381;31233;32169;2.99683027566997
"Spital Affoltern";17435;17726;18844;6.30711948550153
"Paracelsus-Spital Richterswil";5179;;;
"Limmatklinik";3136;3710;4024;8.46361185983828
"Klinik Lengg";5034;5260;5039;-4.20152091254753
"Uroviva Klinik für Urologie";4129;4180;4006;-4.16267942583732
"Adus Medica";1600;1685;1509;-10.4451038575668
"Klinik Susenberg";2852;3144;3336;6.10687022900764
"Sune-Egge";6256;6218;7346;18.1408813123191
"Spitäler mit Zürcher Leistungsauftrag";1082110;1109653;1114846;0.467984135581112
"Geburtshaus Zürcher Oberland";1976;2354;2103;-10.6627017841971
"Geburtshaus Delphys";1013;1208;1167;-3.39403973509934
"Geburtshäuser mit Zürcher Leistungsauftrag";2989;3562;3270;-8.19764177428412
"Klinik Im Park";25978;26213;26322;0.41582420936177
"Privatklinik Bethanien";15636;15284;13643;-10.7367181366135
"Klinik Lindberg";5527;5971;6940;16.2284374476637
"Klinik Pyramide am See";3911;3959;3726;-5.88532457691336
"Klinik Tiefenbrunnen";146;114;156;36.8421052631579
"Spitäler ohne Zürcher Leistungsauftrag";51198;51541;50787;-1.46291302070196
"Total Kanton Zürich";1136297;1164756;1168903;0.356040235036348
"Spitäler Schaffhausen";42540;44868;;5.47249647390691
