"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Total"
"Zürich";88988;163099;161479;50308;24708;488582
"Winterthur";48330;63335;81031;30241;12086;235023
"Unterland";38817;51658;67638;22900;8007;189020
"Limmattal";38206;49328;64174;22728;8669;183105
"Linkes Seeufer";17432;20182;30949;12057;5038;85658
"Rechtes Seeufer";18019;17779;33417;12911;5855;87981
"Oberes Glattal";38892;49064;67771;24760;9493;189980
"Oberland";21029;25849;36501;14420;5197;102996
"Total";309713;440294;542960;190325;79053;1562345
