"Spitalname";"2020";"2021";"2022";"% Änd. Vorjahr"
"Universitätsspital Zürich";38700;39523;38780;-1.87991802241733
"Kantonsspital Winterthur";26828;28081;26748;-4.74698194508743
"Stadtspital Triemli";23964;25037;24749;-1.15029755961178
"Klinik Hirslanden";18435;19295;19539;1.26457631510755
"See-Spital Standort Horgen";6383;7029;7415;5.49153506899986
"See-Spital Standort Kilchberg";2338;2567;2109;-17.8418387222439
"Spital Uster";9628;9921;10370;4.52575345227295
"Spital Limmattal";11348;12062;12781;5.96086884430442
"Spital Bülach";10060;10252;10102;-1.46312914553258
"Spital Zollikerberg";10823;11558;11428;-1.12476206956221
"GZO AG Spital Wetzikon";9884;10011;9937;-0.739186894416144
"Stadtspital Waid";8138;8242;8616;4.53773355981557
"Schulthess Klinik";7671;8004;8294;3.6231884057971
"Kinderspital Zürich";7732;8301;8495;2.33706782315384
"Spital Männedorf";7812;8164;8328;2.00881920627143
"Universitätsklinik Balgrist";5734;6519;6760;3.69688602546403
"Spital Affoltern";3064;2907;2941;1.16959064327486
"Paracelsus-Spital Richterswil";1483;;;
"Limmatklinik";1528;1846;2019;9.37161430119176
"Klinik Lengg";1395;1530;1498;-2.09150326797386
"Uroviva Klinik für Urologie";1401;1475;1397;-5.28813559322034
"Adus Medica";737;803;779;-2.98879202988792
"Klinik Susenberg";441;462;415;-10.1731601731602
"Sune-Egge";144;179;157;-12.2905027932961
"Spitäler mit Zürcher Leistungsauftrag";215671;223768;223657;-0.0496049479818406
"Geburtshaus Zürcher Oberland";790;979;818;-16.4453524004086
"Geburtshaus Delphys";536;603;542;-10.1160862354892
"Geburtshäuser mit Zürcher Leistungsauftrag";1326;1582;1360;-14.0328697850822
"Klinik Im Park";6191;6269;6702;6.90700271175626
"Privatklinik Bethanien";4116;4150;3796;-8.53012048192771
"Klinik Lindberg";1213;1436;1708;18.941504178273
"Klinik Pyramide am See";1444;1567;1482;-5.42437779195916
"Klinik Tiefenbrunnen";80;66;86;30.3030303030303
"Spitäler ohne Zürcher Leistungsauftrag";13044;13488;13774;2.12040332147094
"Total Kanton Zürich";230041;238838;238791;-0.0196786106063551
"Spitäler Schaffhausen";10492;11302;;7.72016774685476
