"Spitalname";"2020";"2021";"2022";"% Änd. Vorjahr"
"Universitätsspital Zürich";38650;39466;38705;-1.92824203111539
"Kantonsspital Winterthur";26797;28048;26694;-4.82743867655447
"Stadtspital Triemli";23959;25034;24746;-1.15043540784533
"Klinik Hirslanden";18435;19294;19539;1.26982481600497
"See-Spital Standort Horgen";6383;7027;7415;5.52155969830652
"See-Spital Standort Kilchberg";2338;2567;2109;-17.8418387222439
"Spital Uster";9628;9921;10370;4.52575345227295
"Spital Limmattal";11338;12054;12765;5.89845694375311
"Spital Bülach";10058;10251;10096;-1.5120476051117
"Spital Zollikerberg";10821;11558;11428;-1.12476206956221
"GZO AG Spital Wetzikon";9879;10011;9932;-0.789131954849664
"Stadtspital Waid";8134;8235;8615;4.61445051608986
"Schulthess Klinik";7671;8004;8294;3.6231884057971
"Kinderspital Zürich";7487;8030;8212;2.266500622665
"Spital Männedorf";7812;8164;8328;2.00881920627143
"Universitätsklinik Balgrist";5415;6176;6533;5.78044041450778
"Spital Affoltern";2642;2510;2563;2.11155378486056
"Paracelsus-Spital Richterswil";1483;;;
"Limmatklinik";1528;1846;2019;9.37161430119176
"Klinik Lengg";877;931;941;1.07411385606875
"Uroviva Klinik für Urologie";1401;1475;1397;-5.28813559322034
"Adus Medica";737;803;779;-2.98879202988792
"Klinik Susenberg";176;196;197;0.510204081632648
"Sune-Egge";144;179;157;-12.2905027932961
"Spitäler mit Zürcher Leistungsauftrag";213793;221780;221834;0.0243484534223182
"Geburtshaus Zürcher Oberland";790;979;818;-16.4453524004086
"Geburtshaus Delphys";536;603;542;-10.1160862354892
"Geburtshäuser mit Zürcher Leistungsauftrag";1326;1582;1360;-14.0328697850822
"Klinik Im Park";6191;6268;6702;6.92405871091257
"Privatklinik Bethanien";4116;4150;3796;-8.53012048192771
"Klinik Lindberg";1213;1436;1708;18.941504178273
"Klinik Pyramide am See";1444;1567;1482;-5.42437779195916
"Klinik Tiefenbrunnen";80;66;86;30.3030303030303
"Spitäler ohne Zürcher Leistungsauftrag";13044;13487;13774;2.12797508712093
"Total Kanton Zürich";228163;236849;236968;0.0502429818154182
"Spitäler Schaffhausen";9281;10056;;8.35039327658658
