"Region";"Anzahl Betten";"Einwohner";"Betten pro 1000 Einwohner"
"Zürich";2374.9397260274;493778;4.80973175400159
"Winterthur";357.849315068493;237415;1.50727340340119
"Unterland";163.8;191678;0.854558165256315
"Limmattal";236.238356164384;184636;1.27948155378357
"Linkes Seeufer";176.884931506849;86380;2.04775331681928
"Rechtes Seeufer";137.095890410959;88515;1.54884359047573
"Oberes Glattal";161;191029;0.842803972171765
"Oberland";129;104037;1.23994348164595
"Total";3736.80821917808;1577468;2.36886467375445
