"Region";"Anzahl Betten";"Einwohner";"Betten pro 1000 Einwohner"
"Zürich";2517.38356164384;477553;5.27142235865723
"Winterthur";444.698630136986;228442;1.94665880239617
"Unterland";189.895890410959;181274;1.04756275257874
"Limmattal";253.950684931507;176998;1.43476584442483
"Linkes Seeufer";243.178082191781;83449;2.91409222629128
"Rechtes Seeufer";129.306849315068;85912;1.50510812593198
"Oberes Glattal";208;182740;1.1382291780672
"Oberland";156;100430;1.55332072090013
"Total";4142.41369863014;1516798;2.73102529053317
