"Spitalname";"2016";"2017";"2018";"% Änd. Vorjahr"
"Universitätsspital Zürich";40673;41799;41916;0.279911002655564
"Kantonsspital Winterthur";27102;26890;27451;2.08627742655263
"Stadtspital Triemli";24515;24164;24335;0.70766429399105
"Klinik Hirslanden";19329;19078;18292;-4.11992871370165
"See-Spital Standort Horgen";7403;7509;7266;-3.23611666000799
"See-Spital Standort Kilchberg";4050;3574;2730;-23.6149972020146
"Spital Uster";11061;10786;10428;-3.31911737437419
"Spital Limmattal";11402;11428;11164;-2.31011550577529
"Spital Bülach";10546;10330;10329;-0.0096805421103574
"Spital Zollikerberg";10717;10700;10782;0.766355140186925
"GZO AG Spital Wetzikon";10358;10241;10368;1.24011327018845
"Stadtspital Waid";9111;8706;8347;-4.12359292441994
"Schulthess Klinik";8484;8488;7909;-6.82139491046183
"Kinderspital Zürich";7902;8340;8096;-2.92565947242206
"Spital Männedorf";7675;7644;7685;0.536368393511255
"Universitätsklinik Balgrist";4752;4905;5072;3.40468909276248
"Spital Affoltern";3666;3636;3476;-4.40044004400441
"Paracelsus-Spital Richterswil";2930;2646;2206;-16.6288737717309
"Limmatklinik";1384;1400;1584;13.1428571428571
"Klinik Lengg";926;878;878;0
"Uroviva Klinik für Urologie";1069;1201;1099;-8.49292256452956
"Adus Medica";1169;1218;1096;-10.0164203612479
"Klinik Susenberg";188;214;207;-3.27102803738317
"Sune-Egge";134;132;128;-3.03030303030303
"Spitäler mit Zürcher Leistungsauftrag";226546;225907;222844;-1.35586768006304
"Geburtshaus Zürcher Oberland";768;756;856;13.2275132275132
"Geburtshaus Delphys";517;485;500;3.09278350515463
"Geburtshäuser mit Zürcher Leistungsauftrag";1285;1241;1356;9.26672038678484
"Klinik Im Park";7400;7018;6767;-3.57651752636079
"Privatklinik Bethanien";3984;3748;3766;0.480256136606183
"Klinik Lindberg";1343;1367;1392;1.82882223847842
"Klinik Pyramide am See";1925;1966;1733;-11.851475076297
"Klinik Tiefenbrunnen";68;64;61;-4.6875
"Eulachklinik";8;2;;
"Spitäler ohne Zürcher Leistungsauftrag";14728;14165;13719;-3.1486057183198
"Total Kanton Zürich";242559;241313;237919;-1.40647209226191
"Spitäler Schaffhausen";9381;9407;;0.277155953523089
