"Spitalname";"0-19";"0-19 in %";"20-39";"20-39 in %";"40-64";"40-64 in %";"65-79";"65-79 in %";"80+";"80+ in %";"Total"
"Psychiatrische Universitätsklinik Zürich";446;9.25695309256953;1767;36.6749688667497;1957;40.6185139061851;393;8.15691158156912;255;5.29265255292653;4818
"Integrierte Psychiatrie Winterthur - ZU";345;10.8456460232631;1221;38.3841559258095;1142;35.9006601697579;284;8.92801005972965;189;5.9415278214398;3181
"Clienia Privatklinik Schlössli";108;4.15704387990762;967;37.2209391839877;1106;42.5712086220169;272;10.4695919938414;145;5.58121632024634;2598
"Sanatorium Kilchberg";62;2.74944567627494;780;34.589800443459;984;43.6363636363636;256;11.3525498891353;173;7.67184035476718;2255
"Psychiatriestützpunkt Spital Affoltern";2;0.99009900990099;114;56.4356435643564;74;36.6336633663366;12;5.94059405940594;0;0;202
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";963;7.37704918032787;4849;37.1457024666769;5263;40.3171441703692;1217;9.3228129309024;762;5.83729125172361;13054
"Modellstation SOMOSA";36;100;0;0;0;0;0;0;0;0;36
"Kispi Zürich - Psychosomatik und Psychiatrie";56;100;0;0;0;0;0;0;0;0;56
"KSW - Sozialpädiatrisches Zentrum";20;100;0;0;0;0;0;0;0;0;20
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";112;100;0;0;0;0;0;0;0;0;112
"Forel Klinik";2;0.364298724954463;164;29.8724954462659;357;65.0273224043716;26;4.73588342440801;0;0;549
"Suchtbehandlung Frankental";0;0;108;64.6706586826347;59;35.3293413173653;0;0;0;0;167
"USZ - Zentrum für Essstörungen";11;21.1538461538462;39;75;2;3.84615384615385;0;0;0;0;52
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";13;1.69270833333333;311;40.4947916666667;418;54.4270833333333;26;3.38541666666667;0;0;768
"Privatklinik Hohenegg";3;0.6;71;14.2;331;66.2;83;16.6;12;2.4;500
"Total Kanton Zürich";1091;7.55854233060829;5231;36.2408202854372;6012;41.6516558126645;1326;9.18664264930026;774;5.36233892198975;14434
"Clienia Privatklinik Littenheid";404;20.954356846473;732;37.9668049792531;688;35.6846473029046;82;4.25311203319502;22;1.14107883817427;1928
"Spitäler Schaffhausen";26;4.00616332819723;220;33.8983050847458;297;45.7627118644068;63;9.70724191063174;43;6.62557781201849;649
"Klinik Meissenberg";50;10.1419878296146;192;38.9452332657201;206;41.7849898580122;34;6.89655172413793;11;2.23123732251521;493
"Klinik Sonnenhof";171;100;0;0;0;0;0;0;0;0;171
