"Spitalname";"2015";"2016";"2017";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";0.936980788842645;0.928253576020572;0.868866113275735;-6.39776288279232
"Integrierte Psychiatrie Winterthur - ZU";1.00154263852894;0.989302790788447;1.01756576554734;2.85685788234438
"Clienia Privatklinik Schlössli";0.99467346288627;0.98909676931987;0.998949146181272;0.996098376519505
"Sanatorium Kilchberg";0.933758463234136;0.942213824594552;0.920994639666468;-2.25205620785864
"Psychiatriestützpunkt Spital Affoltern";0.996295806323588;0.993293591654247;0.977605717689101;-1.57937935943188
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";0.961260161318902;0.954285820087207;0.928974800660617;-2.65235204105589
"Kinder- und Jugendpsychiatrischer Dienst";0.970439798125451;;;
"Modellstation SOMOSA";0.877518130539887;0.987590652699436;0.992103142626914;0.45691906005223
"Kispi Zürich - Psychosomatik und Psychiatrie";0.984404636459431;0.986548970155528;0.989884088514225;0.338059078625585
"KSW - Sozialpädiatrisches Zentrum";0.768949771689498;0.709927140255009;0.893150684931507;25.8087815336491
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0.935209181784524;0.940876966334828;0.974809741248097;3.6065050083492
"Forel Klinik";0.932022243320222;0.927690310014608;0.97631900176319;5.24191006671355
"Suchtbehandlung Frankental";0.818949771689498;0.879452054794521;0.881735159817352;0.259605399792306
"USZ - Zentrum für Essstörungen";0.925570776255708;0.841780821917808;0.79703196347032;-5.31597504746406
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";0.920547945205479;0.914840572103399;0.950027397260274;3.84622482100614
"Privatklinik Hohenegg";0.919256360078278;0.945355191256831;0.937690802348337;-0.810741716910068
"Total Kanton Zürich";0.95413631694906;0.950009775814441;0.932313393903924;-1.86275787481732
"Clienia Privatklinik Littenheid";0.973106745929181;0.974074074074074;;0.0994061698719184
"Spitäler Schaffhausen";0.812240388864339;0.858804865150714;;5.73284423241747
"Klinik Meissenberg";0.988485746019993;0.930623246197017;;-5.85365039971003
"Klinik Sonnenhof";0.784859408795962;0.815645671555939;;3.92251942385518
