"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Frauen";"Männer";"Total"
"Zürich";3.32420203761273;10.2794411177645;13.3178246254536;8.84458331266842;9.41889103374825;9.67179669296303;9.99672901146316;9.83311619827533
"Winterthur-Unterland";3.69607239203857;12.5186568622088;11.324427695245;5.47128927410617;8.16772448236396;9.44683531017109;9.043135537552;9.2451170464641
"Oberland";3.54808291646023;13.2906621526905;10.8058691776752;6.8346754150512;11.0332488444908;10.1072539439333;8.68241793606522;9.40173493879909
"Horgen";4.33277924625991;16.9228599633338;11.0089731744366;7.68974977138582;12.8205128205128;11.1169575585236;10.2297054909449;10.6806723645427
"Total";3.61996239089406;12.14794181368;11.8725874368422;7.20458695736638;9.79484157054251;9.86465093023162;9.46187938685283;9.6646228111549
