"Psychiatrieregion";"Anzahl Betten";"Einwohner";"Betten pro 1000 Einwohner"
"Zürich";582.213698630137;555427;1.04822721731233
"Winterthur-Unterland";226;462487;0.488662384023767
"Oberland";219;303570;0.721415159600751
"Horgen";207;177157;1.16845509914934
"Total";1234.21369863014;1498641;0.82355527349788
