"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Frauen";"Männer";"Total"
"Zürich";97467;180360;179684;60489;30046;275957;272089;548046
"Winterthur-Unterland";94154;127969;160273;55380;19222;228648;228350;456998
"Oberland";62569;75617;109385;40236;13414;152069;149152;301221
"Horgen";36697;42546;63857;24058;8580;89323;86415;175738
"Total";290887;426492;513199;180163;71262;745997;736006;1482003
