"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Total"
"Zürich";121.032889244265;81.6031975130454;102.99014020106;274.32194575566;480.705666839234;136.740843424709
"Winterthur";109.528222591004;93.4635056454466;104.809892285149;260.632880272539;414.625161171486;137.216329496416
"Unterland";99.4023693674635;91.1614088581369;100.764472544341;240.969302409693;414.466292134831;126.805569141478
"Limmattal";105.944131658727;104.991394148021;116.273817014343;270.549341062452;476.374404531994;146.092046237811
"Linkes Seeufer";94.5921933305692;104.925161812298;105.485510594759;256.665541680729;480.603448275862;145.478076429915
"Rechtes Seeufer";91.4703217036701;103.473389355742;103.005751747171;270.628876501531;429.750515850685;145.85855293789
"Oberes Glattal";95.4680039478247;95.3294271382203;104.269820893698;264.471764951031;449.844757582995;137.014337309839
"Oberland";105.836575875486;109.741920483608;117.816493749825;280.629200206779;441.225860621327;150.582495270338
"Total";107.14883362897;92.1500449877233;105.865222247211;265.565981579488;454.45818968431;138.644038296464
