"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Total"
"Zürich";85043;162126;155277;49996;25111;477553
"Winterthur";46399;62174;77798;28473;10858;225702
"Unterland";37816;51162;65797;22119;7120;184014
"Limmattal";36944;48223;61983;22081;7767;176998
"Linkes Seeufer";16883;19776;30298;11852;4640;83449
"Rechtes Seeufer";17656;17850;32338;12737;5331;85912
"Oberes Glattal";37489;47446;65436;23995;8374;182740
"Oberland";20560;25806;35759;13541;4764;100430
"Total";298790;434563;524686;184794;73965;1516798
