"Spitalname";"2017";"2018";"2019";"% Änd. Vorjahr"
"Universitätsspital Zürich";41799;41916;43018;2.62906765912778
"Kantonsspital Winterthur";26890;27451;27914;1.68664165239882
"Stadtspital Triemli";24164;24335;24717;1.56975549619889
"Klinik Hirslanden";19078;18292;18799;2.77170347692981
"See-Spital Standort Horgen";7509;7266;7225;-0.564271951555184
"See-Spital Standort Kilchberg";3574;2730;2577;-5.60439560439561
"Spital Uster";10786;10428;10318;-1.0548523206751
"Spital Limmattal";11428;11164;11427;2.35578645646721
"Spital Bülach";10330;10329;10542;2.06215509729886
"Spital Zollikerberg";10700;10782;10731;-0.473010573177524
"GZO AG Spital Wetzikon";10241;10368;10427;0.569058641975317
"Stadtspital Waid";8706;8347;8680;3.98945729004432
"Schulthess Klinik";8488;7909;7798;-1.40346440763687
"Kinderspital Zürich";8340;8096;8313;2.68033596837944
"Spital Männedorf";7644;7685;8090;5.27000650618088
"Universitätsklinik Balgrist";4905;5072;5277;4.04179810725551
"Spital Affoltern";3636;3476;3379;-2.79056386651323
"Paracelsus-Spital Richterswil";2646;2206;1868;-15.3218495013599
"Limmatklinik";1400;1584;1540;-2.77777777777778
"Klinik Lengg";878;878;897;2.16400911161732
"Uroviva Klinik für Urologie";1201;1099;1333;21.2920837124659
"Adus Medica";1218;1096;810;-26.0948905109489
"Klinik Susenberg";214;207;217;4.83091787439613
"Sune-Egge";132;128;125;-2.34375
"Spitäler mit Zürcher Leistungsauftrag";225907;222844;226022;1.42610974493367
"Geburtshaus Zürcher Oberland";756;856;828;-3.27102803738317
"Geburtshaus Delphys";485;500;524;4.8
"Geburtshäuser mit Zürcher Leistungsauftrag";1241;1356;1352;-0.294985250737467
"Klinik Im Park";7018;6767;6058;-10.4773163883553
"Privatklinik Bethanien";3748;3766;4192;11.311736590547
"Klinik Lindberg";1367;1392;1399;0.502873563218387
"Klinik Pyramide am See";1966;1733;1573;-9.23254472013849
"Klinik Tiefenbrunnen";64;61;88;44.2622950819672
"Eulachklinik";2;;;
"Spitäler ohne Zürcher Leistungsauftrag";14165;13719;13310;-2.98126685618485
"Total Kanton Zürich";241313;237919;240684;1.162160231003
"Spitäler Schaffhausen";9407;9205;;-2.14733708940151
