"Region";"Anzahl Betten";"Einwohner";"Betten pro 1000 Einwohner"
"Zürich";2468.49863013699;483819;5.10211180242402
"Winterthur";442.698630136986;228210;1.93987393250509
"Unterland";182.8;187324;0.97584933057163
"Limmattal";249.024657534247;179369;1.38833721286424
"Linkes Seeufer";228.852054794521;84263;2.71592578942739
"Rechtes Seeufer";127;86726;1.46438207688582
"Oberes Glattal";209;185416;1.12719506407214
"Oberland";149;101279;1.47118356223896
"Total";4056.87397260274;1536406;2.6404960489628
