"Wohnregion";"0 bis 19";"20 bis 39";"40 bis 64";"65 bis 79";"80 u. mehr";"Total"
"Zürich";87990;163601;160146;50380;24632;486749
"Winterthur";47181;62813;79438;29383;11474;230289
"Unterland";38953;52190;67895;23136;7786;189960
"Limmattal";37896;49517;63741;22538;8307;181999
"Linkes Seeufer";17190;20144;30712;12037;4826;84909
"Rechtes Seeufer";17883;18016;33138;12884;5631;87552
"Oberes Glattal";38389;48771;67199;24513;9134;188006
"Oberland";20733;25817;36213;14142;4973;101878
"Total";306215;440869;538482;189013;76763;1551342
