"Spitalname";"2019";"2020";"2021";"% Änd. Vorjahr"
"Universitätsspital Zürich";273050;245508;248779;1.33233947569937
"Kantonsspital Winterthur";130116;123434;126974;2.8679294197709
"Stadtspital Triemli";115925;110933;115961;4.53246554226425
"Klinik Hirslanden";98149;99957;101769;1.81277949518293
"See-Spital Standort Horgen";35819;31437;33473;6.47644495339885
"See-Spital Standort Kilchberg";8749;7447;7831;5.15643883442998
"Spital Uster";54221;46674;43919;-5.90264387024896
"Spital Limmattal";51302;49039;50879;3.7521156630437
"Spital Bülach";48805;45394;46868;3.24712517072741
"Spital Zollikerberg";46141;45758;48906;6.87967131430569
"GZO AG Spital Wetzikon";39663;37981;39605;4.2758221215871
"Stadtspital Waid";56811;55079;57941;5.19617277002125
"Schulthess Klinik";32579;30856;30450;-1.31578947368421
"Kinderspital Zürich";46425;41407;43799;5.77680102398146
"Spital Männedorf";40171;38204;39347;2.99183331588315
"Universitätsklinik Balgrist";27480;27381;31233;14.0681494466966
"Spital Affoltern";19287;17435;17726;1.66905649555491
"Paracelsus-Spital Richterswil";6763;5179;;
"Limmatklinik";3107;3136;3710;18.3035714285714
"Klinik Lengg";5135;5034;5260;4.48947159316646
"Uroviva Klinik für Urologie";3859;4129;4180;1.23516589973358
"Adus Medica";1697;1600;1685;5.31250000000001
"Klinik Susenberg";3590;2852;3144;10.2384291725105
"Sune-Egge";5491;6256;6218;-0.607416879795397
"Spitäler mit Zürcher Leistungsauftrag";1154335;1082110;1109657;2.54567465414792
"Geburtshaus Zürcher Oberland";2109;1976;2354;19.1295546558705
"Geburtshaus Delphys";1061;1013;1208;19.2497532082922
"Geburtshäuser mit Zürcher Leistungsauftrag";3170;2989;3562;19.1702910672466
"Klinik Im Park";25225;25978;26213;0.904611594426052
"Privatklinik Bethanien";16739;15636;15284;-2.25121514453824
"Klinik Lindberg";6117;5527;5971;8.03329111633797
"Klinik Pyramide am See";3823;3911;3959;1.22730759396574
"Klinik Tiefenbrunnen";145;146;114;-21.9178082191781
"Spitäler ohne Zürcher Leistungsauftrag";52049;51198;51541;0.669948044845503
"Total Kanton Zürich";1209554;1136297;1164760;2.50489088680159
"Spitäler Schaffhausen";47855;42540;;-11.1064674537666
